identity_key,boundary_flags,candidate_state
\o/,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
a-pose,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
accurate_ballet,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
acrobatics,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
aerobics,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
afloat,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_bed,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_bookshelf,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_chair,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_chalkboard,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_desk,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_door,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_fence,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_glass,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_locker,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_mirror,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_object,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_pillar,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_railing,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_rock,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_table,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_tree,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_vehicle,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_wall,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_window,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
against_windowsill,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
airplane_arms,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
akiman_pose,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
alexander_anderson's_pose,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
amen_pose_(meme),,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arabesque_(pose),,CLEAN_FOR_FRESH_HOLDOUT_V14_1
aris_dance_(meme),,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_above_head,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_across_chest,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_across_neck,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_across_waist,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_at_side,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_behind_back,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_behind_head,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_behind_leg,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_held_back,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_on_knee,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_on_own_head,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_on_own_leg,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_on_table,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_on_thigh,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_over_shoulder,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_support,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arm_up,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_across_body,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_around_self,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_at_sides,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_behind_back,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_behind_head,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_between_legs,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_on_head,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_on_knees,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_on_table,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
arms_up,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
ass_rest,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
asymmetrical_pigeon-toed,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
at_computer,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
attitude_derriere,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
back-to-back,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
backbend,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
backflip,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
balancing,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
ball_hands,,CLEAN_FOR_FRESH_HOLDOUT_V14_1
