identity_key,candidate_cluster,candidate_state,human_intent,review_note
reverse_netorare,OVERLAP|ACTION_CONTACT|RELATION_ROLE_CONTEXT|RELATIONSHIP_ROLE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
chastity_cage_emission,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
clitoral_circular_saw,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
hobble,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
holding_unworn_chastity_cage,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
torture_instruments,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
ball_and_chain_restraint,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
cloth_gag,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
leash_in_mouth,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
muzzle_gag,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
ring_gag,OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
gagging,OVERLAP|BODY_PART|ACTION_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
tailjob,OVERLAP|BODY_PART|ACTION_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
toe_sucking,OVERLAP|BODY_PART|ACTION_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
torso_grab,OVERLAP|BODY_PART|ACTION_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
vaginal,OVERLAP|BODY_PART|ACTION_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
covered_anus,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
covered_clitoris,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
covered_testicles,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
nipples_out_of_frame,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
pubic_cutout,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
convenient_tentacle,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
labia_slip,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
layered_sideboob,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
precum_through_clothes,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
revealing_chastity_cage,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
unworn_chastity_cage,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|NONE,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
