identity_key,boundary_flags,candidate_state
black_kimono,,SOURCE
black_leg_warmers,,SOURCE
black_leggings,,SOURCE
black_leotard,,SOURCE
black_loincloth,,SOURCE
black_male_swimwear,,SOURCE
black_mask,,SOURCE
black_mittens,,SOURCE
black_neckerchief,,SOURCE
black_necktie,,SOURCE
black_negligee,,SOURCE
black_nightgown,,SOURCE
black_one-piece_swimsuit,,SOURCE
black_overalls,,SOURCE
black_overskirt,,SOURCE
black_pajamas,,SOURCE
black_pants,,SOURCE
black_pantyhose,,SOURCE
black_poncho,,SOURCE
black_robe,,SOURCE
black_romper,,SOURCE
black_sandals,,SOURCE
black_sarong,,SOURCE
black_scapular,,SOURCE
black_shawl,,SOURCE
black_shirt,,SOURCE
black_shoes,,SOURCE
black_shorts,,SOURCE
black_shrug,,SOURCE
black_singlet,,SOURCE
black_skirt,,SOURCE
black_sleeves,,SOURCE
black_slingshot_swimsuit,,SOURCE
black_slippers,,SOURCE
black_socks,,SOURCE
black_suit,,SOURCE
black_sweater,,SOURCE
black_sweater_vest,,SOURCE
black_swim_trunks,,SOURCE
black_tabard,,SOURCE
black_tailcoat,,SOURCE
black_tank_top,,SOURCE
black_thighhighs,,SOURCE
black_thong,,SOURCE
black_track_suit,,SOURCE
black_tube_top,,SOURCE
black_tunic,,SOURCE
black_turban,,SOURCE
black_unitard,,SOURCE
black_vest,,SOURCE
blanket_cape,,SOURCE
blazer,,SOURCE
block_heels,,SOURCE
blouse,,SOURCE
blue_apron,,SOURCE
blue_arm_warmers,,SOURCE
blue_babydoll,,SOURCE
blue_bandeau,,SOURCE
blue_bike_shorts,,SOURCE
blue_bikini,,SOURCE
blue_bloomers,,SOURCE
blue_bodysuit,,SOURCE
blue_boots,,SOURCE
blue_buruma,,SOURCE
blue_camisole,,SOURCE
blue_cape,,SOURCE
blue_capelet,,SOURCE
blue_cardigan,,SOURCE
blue_cloak,,SOURCE
blue_coat,,SOURCE
blue_corset,,SOURCE
blue_dougi,,SOURCE
blue_dress,,SOURCE
blue_fundoshi,,SOURCE
blue_gloves,,SOURCE
blue_hakama,,SOURCE
blue_hanbok,,SOURCE
blue_hanfu,,SOURCE
blue_haori,,SOURCE
blue_happi,,SOURCE
blue_hat,,SOURCE
blue_hiphighs,,SOURCE
blue_hood,,SOURCE
blue_hoodie,,SOURCE
blue_jacket,,SOURCE
blue_jingasa,,SOURCE
blue_jumpsuit,,SOURCE
blue_kimono,,SOURCE
blue_leg_warmers,,SOURCE
blue_leggings,,SOURCE
blue_leotard,,SOURCE
blue_lock_bodysuit,,SOURCE
blue_loincloth,,SOURCE
blue_male_swimwear,,SOURCE
blue_mask,,SOURCE
blue_mittens,,SOURCE
blue_neckerchief,,SOURCE
blue_necktie,,SOURCE
blue_negligee,,SOURCE
blue_nightgown,,SOURCE
blue_one-piece_swimsuit,,SOURCE
blue_overalls,,SOURCE
blue_overskirt,,SOURCE
blue_pajamas,,SOURCE
blue_pants,,SOURCE
blue_pantyhose,,SOURCE
blue_poncho,,SOURCE
blue_raincoat,,SOURCE
blue_robe,,SOURCE
blue_romper,,SOURCE
blue_sandals,,SOURCE
blue_sarong,,SOURCE
blue_shawl,,SOURCE
blue_shirt,,SOURCE
blue_shoes,,SOURCE
blue_shorts,,SOURCE
blue_shrug,,SOURCE
blue_skirt,,SOURCE
blue_sleeves,,SOURCE
blue_slingshot_swimsuit,,SOURCE
blue_slippers,,SOURCE
blue_socks,,SOURCE
blue_suit,,SOURCE
blue_surcoat,,SOURCE
blue_sweater,,SOURCE
blue_sweater_vest,,SOURCE
blue_swim_trunks,,SOURCE
blue_tabard,,SOURCE
blue_tank_top,,SOURCE
blue_thighhighs,,SOURCE
blue_track_suit,,SOURCE
blue_tube_top,,SOURCE
blue_tunic,,SOURCE
blue_unitard,,SOURCE
blue_vest,,SOURCE
boar_hood,,SOURCE
boar_mask,,SOURCE
bobby_socks,,SOURCE
bodice,,SOURCE
bodycon,,SOURCE
bolo_tie,,SOURCE
bomber_jacket,,SOURCE
book_skirt,,SOURCE
boonie_hat,,SOURCE
boots,,SOURCE
borrowed_clothes,,SOURCE
bow_apron,,SOURCE
bow_babydoll,,SOURCE
bow_bikini,,SOURCE
bow_bloomers,,SOURCE
bow_camisole,,SOURCE
bow_garter_belt,,SOURCE
bow_legwear,,SOURCE
bow_shorts,,SOURCE
bow_swimsuit,,SOURCE
bowl_hat,,SOURCE
bowler_hat,,SOURCE
bowtie,,SOURCE
boxer_briefs,,SOURCE
boxers,,SOURCE
boxing_gloves,,SOURCE
boxing_shorts,,SOURCE
boyfriend's_shirt,,SOURCE
boyfriend's_shirt_(tokimeki_no_mirai_chizu),,SOURCE
braided_scarf,,SOURCE
brazilian_flag_bikini,,SOURCE
breeches,,SOURCE
bridal_bikini,,SOURCE
bridal_legwear,,SOURCE
bridal_swimsuit,,SOURCE
briefs,,SOURCE
broken_helmet,,SOURCE
broken_high_heel,,SOURCE
broken_mask,,SOURCE
brooklyn_sweater,,SOURCE
brown_apron,,SOURCE
brown_arm_warmers,,SOURCE
brown_ascot,,SOURCE
brown_bandana,,SOURCE
brown_bandeau,,SOURCE
brown_belt,,SOURCE
brown_bikini,,SOURCE
brown_bodysuit,,SOURCE
brown_bonnet,,SOURCE
brown_boots,,SOURCE
brown_bowtie,,SOURCE
brown_buruma,,SOURCE
brown_camisole,,SOURCE
brown_cape,,SOURCE
brown_capelet,,SOURCE
brown_cardigan,,SOURCE
brown_cloak,,SOURCE
brown_coat,,SOURCE
brown_corset,,SOURCE
brown_dress,,SOURCE
brown_garter_straps,,SOURCE
brown_gloves,,SOURCE
brown_hakama,,SOURCE
brown_hanfu,,SOURCE
brown_haori,,SOURCE
brown_hat,,SOURCE
brown_headscarf,,SOURCE
brown_hiphighs,,SOURCE
brown_hood,,SOURCE
brown_hoodie,,SOURCE
brown_jacket,,SOURCE
brown_jumpsuit,,SOURCE
brown_kimono,,SOURCE
brown_leg_warmers,,SOURCE
brown_leggings,,SOURCE
brown_leotard,,SOURCE
brown_loincloth,,SOURCE
brown_male_swimwear,,SOURCE
brown_mask,,SOURCE
brown_mittens,,SOURCE
brown_neckerchief,,SOURCE
brown_necktie,,SOURCE
brown_one-piece_swimsuit,,SOURCE
brown_overalls,,SOURCE
brown_pajamas,,SOURCE
brown_pants,,SOURCE
brown_pantyhose,,SOURCE
brown_poncho,,SOURCE
brown_robe,,SOURCE
brown_sandals,,SOURCE
brown_sarong,,SOURCE
brown_sash,,SOURCE
brown_scarf,,SOURCE
brown_shawl,,SOURCE
brown_shirt,,SOURCE
brown_shoes,,SOURCE
brown_shorts,,SOURCE
brown_shrug,,SOURCE
brown_skirt,,SOURCE
brown_sleeves,,SOURCE
brown_slippers,,SOURCE
brown_socks,,SOURCE
brown_suit,,SOURCE
brown_sweater,,SOURCE
brown_sweater_vest,,SOURCE
brown_tabard,,SOURCE
brown_tank_top,,SOURCE
brown_thighhighs,,SOURCE
brown_tube_top,,SOURCE
brown_tunic,,SOURCE
brown_veil,,SOURCE
brown_vest,,SOURCE
bruce_lee's_jumpsuit,,SOURCE
bucket_hat,,SOURCE
budget_sarashi,,SOURCE
bunny_hood_(zelda),,SOURCE
bunny_slippers,,SOURCE
buruma,,SOURCE
business_casual,,SOURCE
business_suit,,SOURCE
buster_shirt_(fate),,SOURCE
butterfly_hat,,SOURCE
butterfly_mask,,SOURCE
butterfly_print_haori,,SOURCE
butterfly_print_kimono,,SOURCE
butterfly_print_sash,,SOURCE
button_dress,,SOURCE
button_up_skirt,,SOURCE
bycocket,,SOURCE
c-string,,SOURCE
cake-shaped_hat,,SOURCE
camouflage_bikini,,SOURCE
camouflage_cloak,,SOURCE
camouflage_coat,,SOURCE
camouflage_dress,,SOURCE
camouflage_footwear,,SOURCE
camouflage_gloves,,SOURCE
camouflage_hat,,SOURCE
camouflage_hoodie,,SOURCE
camouflage_jacket,,SOURCE
camouflage_legwear,,SOURCE
camouflage_pants,,SOURCE
camouflage_scarf,,SOURCE
camouflage_shirt,,SOURCE
camouflage_shorts,,SOURCE
camouflage_skirt,,SOURCE
camouflage_tank_top,,SOURCE
campaign_hat,,SOURCE
cape,,SOURCE
capelet,,SOURCE
capri_pants,,SOURCE
cardigan,,SOURCE
cardigan_vest,,SOURCE
cargo_pants,,SOURCE
cargo_shorts,,SOURCE
cargo_skirt,,SOURCE
casual,,SOURCE
casual_one-piece_swimsuit,,SOURCE
cat_ear_bikini,,SOURCE
cat_ear_legwear,,SOURCE
cat_pajamas,,SOURCE
cat_slippers,,SOURCE
catsuit,,SOURCE
chanchanko_(clothes),,SOURCE
changpao,,SOURCE
chaps,,SOURCE
checkered_apron,,SOURCE
checkered_bikini,,SOURCE
checkered_cape,,SOURCE
checkered_cloak,,SOURCE
checkered_clothes,,SOURCE
checkered_coat,,SOURCE
checkered_dress,,SOURCE
checkered_footwear,,SOURCE
checkered_gloves,,SOURCE
checkered_haori,,SOURCE
checkered_jacket,,SOURCE
checkered_kimono,,SOURCE
checkered_leg_warmers,,SOURCE
checkered_legwear,,SOURCE
checkered_pants,,SOURCE
checkered_pantyhose,,SOURCE
checkered_shirt,,SOURCE
checkered_shoes,,SOURCE
checkered_shorts,,SOURCE
checkered_skirt,,SOURCE
checkered_sleeves,,SOURCE
checkered_socks,,SOURCE
checkered_sweater,,SOURCE
checkered_sweater_vest,,SOURCE
checkered_swimsuit,,SOURCE
checkered_tank_top,,SOURCE
