identity_key,boundary_flags,candidate_state
bouncing_pecs,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
bowing,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
bowlegged_pose,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
bowling,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
boxing,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
breakdance,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
breathing_(animated),,CLEAN_FOR_FRESH_HOLDOUT_V14_2
broom_riding,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
broom_surfing,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
bump_(volleyball),,CLEAN_FOR_FRESH_HOLDOUT_V14_2
bungee_jumping,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
butler_bowing,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
camel_clutch,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
camera_hold_pose_(han-0v0),,CLEAN_FOR_FRESH_HOLDOUT_V14_2
capoeira,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
caramelldansen_(meme),,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cartwheel,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cat_breakdancing_(meme),,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cat_loaf,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cat_shadow_puppet_(meme),,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cat_stretch,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
catwalk_(modeling),,CLEAN_FOR_FRESH_HOLDOUT_V14_2
center_axis_relock_stance,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
chair_tipping,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
charging_forward,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
charisma_guard,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
charizard_pose,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cheek_rest,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
chin_on_palm_challenge,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
circle_formation,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
circle_hands,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
claw_pose,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
clenched_hand,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
clenched_hands,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
coiled,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
collapsed,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
collapsing,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
colombia_pose_(meme),,CLEAN_FOR_FRESH_HOLDOUT_V14_2
come_at_me_bro,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
contortion,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
contrapposto,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cossack_dance,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cradle_position,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crane_stance,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crash_landing,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crawling,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cross-body_stretch,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crossed_ankles,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crossed_arms,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crossed_fingers,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crossed_knees,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crossed_legs,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crossed_wrists,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
crouch_start,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cure_black_pose,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
cure_white_pose,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
curled_up,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
curling,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
curtsey,,CLEAN_FOR_FRESH_HOLDOUT_V14_2
dab_(dance),,CLEAN_FOR_FRESH_HOLDOUT_V14_2
