identity_key,boundary_flags,candidate_state
camera_hold_pose_(han-0v0),,CLEAN_FOR_FRESH_HOLDOUT
capoeira,,CLEAN_FOR_FRESH_HOLDOUT
caramelldansen_(meme),,CLEAN_FOR_FRESH_HOLDOUT
cartwheel,,CLEAN_FOR_FRESH_HOLDOUT
cat_breakdancing_(meme),,CLEAN_FOR_FRESH_HOLDOUT
cat_loaf,,CLEAN_FOR_FRESH_HOLDOUT
cat_shadow_puppet_(meme),,CLEAN_FOR_FRESH_HOLDOUT
cat_stretch,,CLEAN_FOR_FRESH_HOLDOUT
catwalk_(modeling),,CLEAN_FOR_FRESH_HOLDOUT
center_axis_relock_stance,,CLEAN_FOR_FRESH_HOLDOUT
chair_tipping,,CLEAN_FOR_FRESH_HOLDOUT
charging_forward,,CLEAN_FOR_FRESH_HOLDOUT
charisma_guard,,CLEAN_FOR_FRESH_HOLDOUT
charizard_pose,,CLEAN_FOR_FRESH_HOLDOUT
cheek_rest,,CLEAN_FOR_FRESH_HOLDOUT
chin_on_palm_challenge,,CLEAN_FOR_FRESH_HOLDOUT
circle_formation,,CLEAN_FOR_FRESH_HOLDOUT
circle_hands,,CLEAN_FOR_FRESH_HOLDOUT
claw_pose,,CLEAN_FOR_FRESH_HOLDOUT
clenched_hand,,CLEAN_FOR_FRESH_HOLDOUT
clenched_hands,,CLEAN_FOR_FRESH_HOLDOUT
coiled,,CLEAN_FOR_FRESH_HOLDOUT
collapsed,,CLEAN_FOR_FRESH_HOLDOUT
collapsing,,CLEAN_FOR_FRESH_HOLDOUT
colombia_pose_(meme),,CLEAN_FOR_FRESH_HOLDOUT
come_at_me_bro,,CLEAN_FOR_FRESH_HOLDOUT
contortion,,CLEAN_FOR_FRESH_HOLDOUT
contrapposto,,CLEAN_FOR_FRESH_HOLDOUT
cossack_dance,,CLEAN_FOR_FRESH_HOLDOUT
cradle_position,,CLEAN_FOR_FRESH_HOLDOUT
crane_stance,,CLEAN_FOR_FRESH_HOLDOUT
crash_landing,,CLEAN_FOR_FRESH_HOLDOUT
crawling,,CLEAN_FOR_FRESH_HOLDOUT
cross-body_stretch,,CLEAN_FOR_FRESH_HOLDOUT
crossed_ankles,,CLEAN_FOR_FRESH_HOLDOUT
crossed_arms,,CLEAN_FOR_FRESH_HOLDOUT
crossed_fingers,,CLEAN_FOR_FRESH_HOLDOUT
crossed_knees,,CLEAN_FOR_FRESH_HOLDOUT
crossed_legs,,CLEAN_FOR_FRESH_HOLDOUT
crossed_wrists,,CLEAN_FOR_FRESH_HOLDOUT
crouch_start,,CLEAN_FOR_FRESH_HOLDOUT
cure_black_pose,,CLEAN_FOR_FRESH_HOLDOUT
cure_white_pose,,CLEAN_FOR_FRESH_HOLDOUT
curled_up,,CLEAN_FOR_FRESH_HOLDOUT
curling,,CLEAN_FOR_FRESH_HOLDOUT
curtsey,,CLEAN_FOR_FRESH_HOLDOUT
dab_(dance),,CLEAN_FOR_FRESH_HOLDOUT
dancing,,CLEAN_FOR_FRESH_HOLDOUT
dangling,,CLEAN_FOR_FRESH_HOLDOUT
dashing,,CLEAN_FOR_FRESH_HOLDOUT
dhyana_mudra,,CLEAN_FOR_FRESH_HOLDOUT
dio_brando's_pose,,CLEAN_FOR_FRESH_HOLDOUT
dip_(dance_move),,CLEAN_FOR_FRESH_HOLDOUT
disappearing,,CLEAN_FOR_FRESH_HOLDOUT
dodging,,CLEAN_FOR_FRESH_HOLDOUT
dogeza,,CLEAN_FOR_FRESH_HOLDOUT
dojikko_pose,,CLEAN_FOR_FRESH_HOLDOUT
double_biceps_pose,,CLEAN_FOR_FRESH_HOLDOUT
double_inward_v,,CLEAN_FOR_FRESH_HOLDOUT
double_l,,CLEAN_FOR_FRESH_HOLDOUT
double_middle_w,,CLEAN_FOR_FRESH_HOLDOUT
double_v,,CLEAN_FOR_FRESH_HOLDOUT
double_w,,CLEAN_FOR_FRESH_HOLDOUT
downward_dog,,CLEAN_FOR_FRESH_HOLDOUT
dragging,,CLEAN_FOR_FRESH_HOLDOUT
drifting,,CLEAN_FOR_FRESH_HOLDOUT
dropkick,,CLEAN_FOR_FRESH_HOLDOUT
dropping,,CLEAN_FOR_FRESH_HOLDOUT
ducking,,CLEAN_FOR_FRESH_HOLDOUT
dynamic_pose,,CLEAN_FOR_FRESH_HOLDOUT
ear_wiggle,,CLEAN_FOR_FRESH_HOLDOUT
elbow_rest,,CLEAN_FOR_FRESH_HOLDOUT
en_pointe,,CLEAN_FOR_FRESH_HOLDOUT
face_down,,CLEAN_FOR_FRESH_HOLDOUT
fainting,,CLEAN_FOR_FRESH_HOLDOUT
fallen_down,,CLEAN_FOR_FRESH_HOLDOUT
falling,,CLEAN_FOR_FRESH_HOLDOUT
feet_up,,CLEAN_FOR_FRESH_HOLDOUT
feet_up_heels_up,,CLEAN_FOR_FRESH_HOLDOUT
feigning_sleep,,CLEAN_FOR_FRESH_HOLDOUT
fetal_position,,CLEAN_FOR_FRESH_HOLDOUT
fidgeting,,CLEAN_FOR_FRESH_HOLDOUT
fifth_position_of_the_arms,,CLEAN_FOR_FRESH_HOLDOUT
fighting_stance,,CLEAN_FOR_FRESH_HOLDOUT
flailing,,CLEAN_FOR_FRESH_HOLDOUT
flapping,,CLEAN_FOR_FRESH_HOLDOUT
fleeing,,CLEAN_FOR_FRESH_HOLDOUT
flexing,,CLEAN_FOR_FRESH_HOLDOUT
flexing_pectorals,,CLEAN_FOR_FRESH_HOLDOUT
floating,,CLEAN_FOR_FRESH_HOLDOUT
floating_character,,CLEAN_FOR_FRESH_HOLDOUT
flying,,CLEAN_FOR_FRESH_HOLDOUT
flying_kick,,CLEAN_FOR_FRESH_HOLDOUT
foot_dangle,,CLEAN_FOR_FRESH_HOLDOUT
foot_up_heel_up,,CLEAN_FOR_FRESH_HOLDOUT
fourth_position_of_the_arms,,CLEAN_FOR_FRESH_HOLDOUT
freefall,,CLEAN_FOR_FRESH_HOLDOUT
front_sitting_split,,CLEAN_FOR_FRESH_HOLDOUT
frontbend,,CLEAN_FOR_FRESH_HOLDOUT
ga_rune_pose,,CLEAN_FOR_FRESH_HOLDOUT
gangsta_hold,,CLEAN_FOR_FRESH_HOLDOUT
gathers,,CLEAN_FOR_FRESH_HOLDOUT
gatotsu_stance,,CLEAN_FOR_FRESH_HOLDOUT
gattai,,CLEAN_FOR_FRESH_HOLDOUT
gendou_pose,,CLEAN_FOR_FRESH_HOLDOUT
german_suplex,,CLEAN_FOR_FRESH_HOLDOUT
getting_up,,CLEAN_FOR_FRESH_HOLDOUT
ghost_pose,,CLEAN_FOR_FRESH_HOLDOUT
giorno_giovanna's_pose,,CLEAN_FOR_FRESH_HOLDOUT
girly_running,,CLEAN_FOR_FRESH_HOLDOUT
gliding,,CLEAN_FOR_FRESH_HOLDOUT
ground_pound,,CLEAN_FOR_FRESH_HOLDOUT
group_pose,,CLEAN_FOR_FRESH_HOLDOUT
gunbuster_pose,,CLEAN_FOR_FRESH_HOLDOUT
gunkata,,CLEAN_FOR_FRESH_HOLDOUT
gymnastics,,CLEAN_FOR_FRESH_HOLDOUT
haigure_pose,,CLEAN_FOR_FRESH_HOLDOUT
half_lotus_position,,CLEAN_FOR_FRESH_HOLDOUT
hand_up,,CLEAN_FOR_FRESH_HOLDOUT
hand_wave,,CLEAN_FOR_FRESH_HOLDOUT
hands_clasped_in_delight,,CLEAN_FOR_FRESH_HOLDOUT
hands_up,,CLEAN_FOR_FRESH_HOLDOUT
handstand,,CLEAN_FOR_FRESH_HOLDOUT
hanged,,CLEAN_FOR_FRESH_HOLDOUT
hanging,,CLEAN_FOR_FRESH_HOLDOUT
hanging_legs,,CLEAN_FOR_FRESH_HOLDOUT
hatching,,CLEAN_FOR_FRESH_HOLDOUT
head_and_hip_pose,,CLEAN_FOR_FRESH_HOLDOUT
