cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples
OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|EXPLICIT_SEX,2,OVERLAP,OBJECT_PROP/DAILY,OBJECT_PROP,IMPLEMENT_OBJECT,EXPLICIT_SEX,onahole;used_onahole
OVERLAP|PERSON_COUNT|MULTI_ACTOR_INTERACTION|NONE,2,OVERLAP,PERSON_COUNT,PERSON_COUNT,MULTI_ACTOR_INTERACTION,NONE,fivesome;foursome
OVERLAP|PERSON_COUNT|NONHUMAN_INTERACTION|NONE,2,OVERLAP,PERSON_COUNT,PERSON_COUNT,NONHUMAN_INTERACTION,NONE,squid_girl;tentacle_girl
OVERLAP|PLACE_BACKGROUND|SCENE_CONTEXT|NONE,2,OVERLAP,PLACE_BACKGROUND,PLACE_BACKGROUND,SCENE_CONTEXT,NONE,glory_wall;walk-in
OVERLAP|POSE_MOVEMENT|CLOTHING_EXPOSURE|NONE,2,OVERLAP,POSE_MOVEMENT,POSE_MOVEMENT,CLOTHING_EXPOSURE,NONE,ass_lift;bouncing_ass
OVERLAP|POSE_MOVEMENT|DIRECT_COMPOSITE|ANATOMY,2,OVERLAP,POSE_MOVEMENT,POSE_MOVEMENT,DIRECT_COMPOSITE,ANATOMY,ofuda_on_nipples;ofuda_on_pussy
SPECIAL_ONLY|(none)|(none)|ANATOMY+EXPLICIT_SEX,2,SPECIAL_ONLY,(none),(none),(none),ANATOMY+EXPLICIT_SEX,anal_creampie;nipple_fuck
SPECIAL_ONLY|(none)|(none)|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,2,SPECIAL_ONLY,(none),(none),(none),EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,assless_panties;transparent_cleavage
SPECIAL_ONLY|(none)|(none)|NONE,2,SPECIAL_ONLY,(none),(none),(none),NONE,cock-tail;mushikan
GENERAL_ONLY|(none)|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,(none),(none),(none),ADULT_ROLE_DEVICE,italian_senate_porn_livestream_(meme)
GENERAL_ONLY|(none)|EXPLICIT_SEX,1,GENERAL_ONLY,(none),(none),(none),EXPLICIT_SEX,sex_ed
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),ADULT_ROLE_DEVICE,buying_condoms
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|ANATOMY,1,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),ANATOMY,face_in_crotch
GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,(none),ADULT_ROLE_DEVICE,holding_condom
GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|SEXUALIZED_CLOTHING,1,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,(none),SEXUALIZED_CLOTHING,bikini_in_mouth
GENERAL_ONLY|BODY_PART|EXPOSURE_INTIMATE,1,GENERAL_ONLY,BODY_PART,BODY_PART,(none),EXPOSURE_INTIMATE,pectoral_cleavage
GENERAL_ONLY|BODY_PART|RELATIONSHIP_ROLE,1,GENERAL_ONLY,BODY_PART,BODY_PART,(none),RELATIONSHIP_ROLE,muscular_uke
GENERAL_ONLY|BODY_PART|RESTRAINT_FETISH,1,GENERAL_ONLY,BODY_PART,BODY_PART,(none),RESTRAINT_FETISH,whip_marks
GENERAL_ONLY|CLOTHING/ACCESSORY|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,CLOTHING/ACCESSORY,CLOTHING,(none),ADULT_ROLE_DEVICE,condom_belt
GENERAL_ONLY|CLOTHING/COSTUME|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,CLOTHING/COSTUME,CLOTHING,(none),ADULT_ROLE_DEVICE,divine_bustier_(dq)
GENERAL_ONLY|CLOTHING/COSTUME|ADULT_ROLE_DEVICE+SEXUALIZED_CLOTHING,1,GENERAL_ONLY,CLOTHING/COSTUME,CLOTHING,(none),ADULT_ROLE_DEVICE+SEXUALIZED_CLOTHING,gravure_swimsuit_(idolmaster)
GENERAL_ONLY|CLOTHING/COSTUME|RESTRAINT_FETISH,1,GENERAL_ONLY,CLOTHING/COSTUME,CLOTHING,(none),RESTRAINT_FETISH,armored_collar
GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE+SEXUALIZED_CLOTHING,1,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),ADULT_ROLE_DEVICE+SEXUALIZED_CLOTHING,fishnet_bodystocking
GENERAL_ONLY|CLOTHING/EVERYDAY|ANATOMY,1,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),ANATOMY,strap_between_breasts
GENERAL_ONLY|CLOTHING/EVERYDAY|RESTRAINT_FETISH+SEXUALIZED_CLOTHING,1,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),RESTRAINT_FETISH+SEXUALIZED_CLOTHING,miku_collar_bikini
GENERAL_ONLY|CLOTHING/UNIFORM|NONE,1,GENERAL_ONLY,CLOTHING/UNIFORM,CLOTHING,(none),NONE,marine_uniform_(one_piece)
