identity_key,candidate_cluster,candidate_state,human_intent,review_note
clitoris_peek,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
face_between_breasts,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
hanging_breasts,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
penis_sheath,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
sagging_breasts,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
unaligned_breasts,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
bleeding,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
death,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
disembowelment,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
dismemberment,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
headless,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
intestines,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
mutilation,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
organs,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
severed_head,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
severed_limb,OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
eyed_tentacle,OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
mechanical_tentacles,OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
mouth_tentacles,OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
tentacle_legs,OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
tentacle_tail,OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
