identity_key,state
abdomen_tail,LOW_RISK_BODY_CANDIDATE_V19_2
abs,LOW_RISK_BODY_CANDIDATE_V19_2
absurdly_long_tail,LOW_RISK_BODY_CANDIDATE_V19_2
abyssal_ship_transformation,LOW_RISK_BODY_CANDIDATE_V19_2
accessory_tan,LOW_RISK_BODY_CANDIDATE_V19_2
achilles_tendon,LOW_RISK_BODY_CANDIDATE_V19_2
adam's_apple,LOW_RISK_BODY_CANDIDATE_V19_2
age_comparison,LOW_RISK_BODY_CANDIDATE_V19_2
age_progression,LOW_RISK_BODY_CANDIDATE_V19_2
age_regression,LOW_RISK_BODY_CANDIDATE_V19_2
age_switch,LOW_RISK_BODY_CANDIDATE_V19_2
aged_down,LOW_RISK_BODY_CANDIDATE_V19_2
aged_up,LOW_RISK_BODY_CANDIDATE_V19_2
albino,LOW_RISK_BODY_CANDIDATE_V19_2
allergy,LOW_RISK_BODY_CANDIDATE_V19_2
alpaca_ears,LOW_RISK_BODY_CANDIDATE_V19_2
alpaca_tail,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_animal_ears,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_body_fluid,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_body_hair,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_ears,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_horns,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_piercings,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_size,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_skin_color,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_tail,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_tail_color,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_tattoo,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_wing_color,LOW_RISK_BODY_CANDIDATE_V19_2
alternate_wings,LOW_RISK_BODY_CANDIDATE_V19_2
ambiguous_red_liquid,LOW_RISK_BODY_CANDIDATE_V19_2
american_flag_tattoo,LOW_RISK_BODY_CANDIDATE_V19_2
amnesia,LOW_RISK_BODY_CANDIDATE_V19_2
anatomy,LOW_RISK_BODY_CANDIDATE_V19_2
anchor_tattoo,LOW_RISK_BODY_CANDIDATE_V19_2
angel_wings,LOW_RISK_BODY_CANDIDATE_V19_2
animal_ear_fluff,LOW_RISK_BODY_CANDIDATE_V19_2
animal_ears,LOW_RISK_BODY_CANDIDATE_V19_2
animal_hands,LOW_RISK_BODY_CANDIDATE_V19_2
animal_head,LOW_RISK_BODY_CANDIDATE_V19_2
animal_legs,LOW_RISK_BODY_CANDIDATE_V19_2
animal_nose,LOW_RISK_BODY_CANDIDATE_V19_2
animal_skeleton,LOW_RISK_BODY_CANDIDATE_V19_2
animal_skull,LOW_RISK_BODY_CANDIDATE_V19_2
animal_with_hair,LOW_RISK_BODY_CANDIDATE_V19_2
ankh_tattoo,LOW_RISK_BODY_CANDIDATE_V19_2
ankle,LOW_RISK_BODY_CANDIDATE_V19_2
ankle_fins,LOW_RISK_BODY_CANDIDATE_V19_2
ankle_tattoo,LOW_RISK_BODY_CANDIDATE_V19_2
ankle_wings,LOW_RISK_BODY_CANDIDATE_V19_2
anteater_ears,LOW_RISK_BODY_CANDIDATE_V19_2
anteater_tail,LOW_RISK_BODY_CANDIDATE_V19_2
antelope_ears,LOW_RISK_BODY_CANDIDATE_V19_2
antelope_horns,LOW_RISK_BODY_CANDIDATE_V19_2
antennae,LOW_RISK_BODY_CANDIDATE_V19_2
anti-eyebrow_piercing,LOW_RISK_BODY_CANDIDATE_V19_2
antlers,LOW_RISK_BODY_CANDIDATE_V19_2
aqua_feathers,LOW_RISK_BODY_CANDIDATE_V19_2
aqua_fur,LOW_RISK_BODY_CANDIDATE_V19_2
aqua_horns,LOW_RISK_BODY_CANDIDATE_V19_2
aqua_nails,LOW_RISK_BODY_CANDIDATE_V19_2
aqua_scales,LOW_RISK_BODY_CANDIDATE_V19_2
aqua_skin,LOW_RISK_BODY_CANDIDATE_V19_2
aqua_tail,LOW_RISK_BODY_CANDIDATE_V19_2
aqua_wings,LOW_RISK_BODY_CANDIDATE_V19_2
arm_cast,LOW_RISK_BODY_CANDIDATE_V19_2
arm_fins,LOW_RISK_BODY_CANDIDATE_V19_2
arm_freckles,LOW_RISK_BODY_CANDIDATE_V19_2
arm_hair,LOW_RISK_BODY_CANDIDATE_V19_2
arm_markings,LOW_RISK_BODY_CANDIDATE_V19_2
arm_spikes,LOW_RISK_BODY_CANDIDATE_V19_2
arm_tattoo,LOW_RISK_BODY_CANDIDATE_V19_2
armadillo_ears,LOW_RISK_BODY_CANDIDATE_V19_2
armadillo_tail,LOW_RISK_BODY_CANDIDATE_V19_2
arrow_in_body,LOW_RISK_BODY_CANDIDATE_V19_2
arrow_in_head,LOW_RISK_BODY_CANDIDATE_V19_2
