identity_key,state
bandage_on_knee,LOW_RISK_BODY_CANDIDATE_V19_1
bandage_on_leg,LOW_RISK_BODY_CANDIDATE_V19_1
bandage_on_neck,LOW_RISK_BODY_CANDIDATE_V19_1
bandage_on_nose,LOW_RISK_BODY_CANDIDATE_V19_1
bandage_over_one_eye,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_ankle,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_arm,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_ear,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_fingers,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_hand,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_head,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_horn,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_knees,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_leg,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_neck,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_tail,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_torso,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_wings,LOW_RISK_BODY_CANDIDATE_V19_1
bandaged_wrist,LOW_RISK_BODY_CANDIDATE_V19_1
bandages_over_clothes,LOW_RISK_BODY_CANDIDATE_V19_1
bandages_over_eyes,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_arm,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_cheek,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_ear,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_eye,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_face,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_finger,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_forehead,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_hand,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_head,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_horn,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_knee,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_leg,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_neck,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_nose,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_shoulder,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_tail,LOW_RISK_BODY_CANDIDATE_V19_1
bandaid_on_wrist,LOW_RISK_BODY_CANDIDATE_V19_1
barcode_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
bat_ears,LOW_RISK_BODY_CANDIDATE_V19_1
bat_tail,LOW_RISK_BODY_CANDIDATE_V19_1
bat_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
bat_wings,LOW_RISK_BODY_CANDIDATE_V19_1
battle_damage,LOW_RISK_BODY_CANDIDATE_V19_1
battle_scarred,LOW_RISK_BODY_CANDIDATE_V19_1
beak,LOW_RISK_BODY_CANDIDATE_V19_1
bear_claws,LOW_RISK_BODY_CANDIDATE_V19_1
bear_ears,LOW_RISK_BODY_CANDIDATE_V19_1
bear_head,LOW_RISK_BODY_CANDIDATE_V19_1
bear_paws,LOW_RISK_BODY_CANDIDATE_V19_1
bear_tail,LOW_RISK_BODY_CANDIDATE_V19_1
beaten,LOW_RISK_BODY_CANDIDATE_V19_1
beating,LOW_RISK_BODY_CANDIDATE_V19_1
beaver_ears,LOW_RISK_BODY_CANDIDATE_V19_1
beaver_tail,LOW_RISK_BODY_CANDIDATE_V19_1
bedwetting,LOW_RISK_BODY_CANDIDATE_V19_1
bee_wings,LOW_RISK_BODY_CANDIDATE_V19_1
beetle_horn,LOW_RISK_BODY_CANDIDATE_V19_1
between_fingers,LOW_RISK_BODY_CANDIDATE_V19_1
between_legs,LOW_RISK_BODY_CANDIDATE_V19_1
biceps,LOW_RISK_BODY_CANDIDATE_V19_1
bifurcated_jaw,LOW_RISK_BODY_CANDIDATE_V19_1
big_head,LOW_RISK_BODY_CANDIDATE_V19_1
bimbofication,LOW_RISK_BODY_CANDIDATE_V19_1
bird_ears,LOW_RISK_BODY_CANDIDATE_V19_1
bird_legs,LOW_RISK_BODY_CANDIDATE_V19_1
bird_skull,LOW_RISK_BODY_CANDIDATE_V19_1
bird_tail,LOW_RISK_BODY_CANDIDATE_V19_1
bird_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
bird_wings,LOW_RISK_BODY_CANDIDATE_V19_1
birthmark,LOW_RISK_BODY_CANDIDATE_V19_1
bisected,LOW_RISK_BODY_CANDIDATE_V19_1
bite_mark,LOW_RISK_BODY_CANDIDATE_V19_1
bite_mark_on_arm,LOW_RISK_BODY_CANDIDATE_V19_1
bite_mark_on_back,LOW_RISK_BODY_CANDIDATE_V19_1
bite_mark_on_face,LOW_RISK_BODY_CANDIDATE_V19_1
bite_mark_on_hand,LOW_RISK_BODY_CANDIDATE_V19_1
bite_mark_on_leg,LOW_RISK_BODY_CANDIDATE_V19_1
bite_mark_on_neck,LOW_RISK_BODY_CANDIDATE_V19_1
bite_mark_on_shoulder,LOW_RISK_BODY_CANDIDATE_V19_1
black_claws,LOW_RISK_BODY_CANDIDATE_V19_1
black_ears,LOW_RISK_BODY_CANDIDATE_V19_1
black_feathers,LOW_RISK_BODY_CANDIDATE_V19_1
black_fur,LOW_RISK_BODY_CANDIDATE_V19_1
black_hands,LOW_RISK_BODY_CANDIDATE_V19_1
black_horns,LOW_RISK_BODY_CANDIDATE_V19_1
black_nails,LOW_RISK_BODY_CANDIDATE_V19_1
black_roots,LOW_RISK_BODY_CANDIDATE_V19_1
black_scales,LOW_RISK_BODY_CANDIDATE_V19_1
black_skin,LOW_RISK_BODY_CANDIDATE_V19_1
black_tail,LOW_RISK_BODY_CANDIDATE_V19_1
black_tears,LOW_RISK_BODY_CANDIDATE_V19_1
black_wings,LOW_RISK_BODY_CANDIDATE_V19_1
black_wings_of_corrosion,LOW_RISK_BODY_CANDIDATE_V19_1
bladder,LOW_RISK_BODY_CANDIDATE_V19_1
blade_arm,LOW_RISK_BODY_CANDIDATE_V19_1
blind,LOW_RISK_BODY_CANDIDATE_V19_1
blind_eye,LOW_RISK_BODY_CANDIDATE_V19_1
bloated,LOW_RISK_BODY_CANDIDATE_V19_1
blocked_senses,LOW_RISK_BODY_CANDIDATE_V19_1
bloody_footprints,LOW_RISK_BODY_CANDIDATE_V19_1
bloody_handprints,LOW_RISK_BODY_CANDIDATE_V19_1
bloody_stream,LOW_RISK_BODY_CANDIDATE_V19_1
bloody_wings,LOW_RISK_BODY_CANDIDATE_V19_1
blowhole,LOW_RISK_BODY_CANDIDATE_V19_1
blue_claws,LOW_RISK_BODY_CANDIDATE_V19_1
blue_feathers,LOW_RISK_BODY_CANDIDATE_V19_1
blue_fur,LOW_RISK_BODY_CANDIDATE_V19_1
blue_hands,LOW_RISK_BODY_CANDIDATE_V19_1
blue_horns,LOW_RISK_BODY_CANDIDATE_V19_1
blue_nails,LOW_RISK_BODY_CANDIDATE_V19_1
blue_scales,LOW_RISK_BODY_CANDIDATE_V19_1
blue_skin,LOW_RISK_BODY_CANDIDATE_V19_1
blue_spine,LOW_RISK_BODY_CANDIDATE_V19_1
blue_tail,LOW_RISK_BODY_CANDIDATE_V19_1
blue_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
