identity_key,candidate_cluster,candidate_state,human_intent,review_note
penis_on_face,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_on_head,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_on_pussy,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_on_shoulder,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_on_stomach,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_over_eyes,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_over_one_eye,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_to_breast,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_to_navel,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_under_breasts,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penis_under_mask,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
pussy_on_glass,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
tape_on_nipples,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
testicles_on_face,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
testicles_touching,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
assisted_peeing,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
autofacial,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
cumdrip,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
cumdump,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
defecating,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
drinking_pee,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
ejaculating_while_penetrated,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
facial,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
felching,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
gokkun,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
golden_shower,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
human_toilet,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
lactating_into_container,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
pee_in_container,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
peed_self,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
peeing_in_bottle,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
peeing_in_cup,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
peeing_self,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
peeing_together,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
prostate_milking,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
pseudo_scat,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
public_urination,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
pull_out,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
scat,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
vomit,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
vomiting,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
vomiting_rainbows,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
