identity_key,candidate_cluster,candidate_state,human_intent,review_note
implied_male_pregnancy,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
male_pregnancy,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
multiple_pregnancy,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
pregnancy_halo,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
pregnancy_mark,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
armpit_hair_peek,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
midriff,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
midriff_peek,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
navel_cutout,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
navel_peek,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
tanlines,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
thigh_cutout,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
bandaid_on_pussy,OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
bandaids_on_nipples,OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
mole_on_testicles,OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
nipples_pressed_together,OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
excessive_lactation,OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
implied_lactation,OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
male_lactation,OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
projectile_lactation,OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
areola_piercing,OVERLAP|BODY_PART|IMPLEMENT_OBJECT|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
nipple_piercing,OVERLAP|BODY_PART|IMPLEMENT_OBJECT|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
scrotum_piercing,OVERLAP|BODY_PART|IMPLEMENT_OBJECT|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
single_nipple_piercing,OVERLAP|BODY_PART|IMPLEMENT_OBJECT|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
blindfold_down,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
blindfold_slip,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
torn_blindfold,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
unworn_blindfold,OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
crotchless_bikini,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
crotchless_bodysuit,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
crotchless_swimsuit,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
see-through_cleavage,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
cuffs-to-collar,OVERLAP|CLOTHING_STATE_EXPOSURE|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
gag_around_neck,OVERLAP|CLOTHING_STATE_EXPOSURE|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
gag_under_mask,OVERLAP|CLOTHING_STATE_EXPOSURE|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
wraparound_tape_gag,OVERLAP|CLOTHING_STATE_EXPOSURE|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
cuffs,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
gimp_suit,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
nub_chastity_cage,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
padlocked_chastity_cage,OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
lipstick_mark_on_anus,OVERLAP|COLOR_APPEARANCE|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
lipstick_mark_on_penis,OVERLAP|COLOR_APPEARANCE|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
lipstick_mark_on_pussy,OVERLAP|COLOR_APPEARANCE|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
lipstick_mark_on_testicles,OVERLAP|COLOR_APPEARANCE|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
arm_between_breasts,OVERLAP|POSE_MOVEMENT|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
arm_under_breasts,OVERLAP|POSE_MOVEMENT|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
arms_under_breasts,OVERLAP|POSE_MOVEMENT|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
bouncing_breasts,OVERLAP|POSE_MOVEMENT|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
bad_vulva,OVERLAP|STYLE_QUALITY_META|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
censored_anus,OVERLAP|STYLE_QUALITY_META|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
censored_nipples,OVERLAP|STYLE_QUALITY_META|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
censored_testicles,OVERLAP|STYLE_QUALITY_META|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
condom_filling,SPECIAL_ONLY|(none)|(none)|ADULT_ROLE_DEVICE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
condoms,SPECIAL_ONLY|(none)|(none)|ADULT_ROLE_DEVICE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
porn,SPECIAL_ONLY|(none)|(none)|ADULT_ROLE_DEVICE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
prostitute,SPECIAL_ONLY|(none)|(none)|ADULT_ROLE_DEVICE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
leash_on_penis,SPECIAL_ONLY|(none)|(none)|ANATOMY+RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
penis_gag,SPECIAL_ONLY|(none)|(none)|ANATOMY+RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
pussy_clamp,SPECIAL_ONLY|(none)|(none)|ANATOMY+RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
pussy_clamps,SPECIAL_ONLY|(none)|(none)|ANATOMY+RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
