identity_key,general_path,confidence,risk_tokens,candidate_class
acoustic_guitar,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
across_the_stars_(idolmaster),CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
acrylic_stand_(object),OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
action_camera,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
action_figure,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
actor,PERSON_COUNT,MEDIUM,,NON_SEXUAL
actor_connection,PERSON_COUNT,MEDIUM,,NON_SEXUAL
actress,PERSON_COUNT,MEDIUM,,NON_SEXUAL
ada_wong_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
adapted_costume,CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
adapted_object,OBJECT_PROP,MEDIUM,,NON_SEXUAL
adapted_turret,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
adapted_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
adapted_weapon,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
adaptive_combat_rifle,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
adjustable_wrench,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
admiral_(kancolle)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
adoptive_parent_and_adoptive_child,PERSON_COUNT,MEDIUM,,NON_SEXUAL
adoptive_siblings,PERSON_COUNT,MEDIUM,,NON_SEXUAL
adoration_(e.g.o),CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
adrian_helmet,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
advanced_nurturing_high_school_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
advanced_ship_(eve_online),OBJECT_PROP/VEHICLE,HIGH,,NON_SEXUAL
advent_card,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
advent_deck,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
adzuki_bean,OBJECT_PROP/FOOD,MEDIUM,,NON_SEXUAL
aedd_(e.g.o),CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
aegis_(nikke),PERSON_COUNT,MEDIUM,,NON_SEXUAL
aegis_sword_(xenoblade),OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
aek-971,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
aerial_hoop,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
aerith_gainsborough_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
aerosol,OBJECT_PROP,MEDIUM,,NON_SEXUAL
aerospray_(splatoon),OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
aestus_estus,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
aether_(genshin_impact)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
aether_foundation_employee_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
aether_foundation_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
