canonical_tag,v2_home,v3_state,v3_home,migration_state,difference_class,difference_detail,evidence_path
yamanami_keisuke_(fate),fate_(series),HOME_CONFIRMED,fate_(series),SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""fate_(series)"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-96fca72f5819c108bfb2b403"",""ev3-ddf5e4b0ac2eb16bc7edfa87""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yamanami_keisuke_(fate)"",""object_key"":""fate"",""evidence_id"":""ev3-96fca72f5819c108bfb2b403""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""fate"",""object_key"":""fate_(series)"",""evidence_id"":""ev3-ddf5e4b0ac2eb16bc7edfa87""}]}]"
yamanin_zephyr_(umamusume),umamusume,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yamasachihiko_(housamo),tokyo_afterschool_summoners,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yamashio_maru_(kancolle),kantai_collection,HOME_CONFIRMED,kantai_collection,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""kantai_collection"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-2b0b8c337e7cd70baa76ee4c"",""ev3-1ad16c438c136c48d6cf9f43""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yamashio_maru_(kancolle)"",""object_key"":""kancolle"",""evidence_id"":""ev3-2b0b8c337e7cd70baa76ee4c""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""kancolle"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-1ad16c438c136c48d6cf9f43""}]}]"
yamashiro_(azur_lane),azur_lane,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yamashiro_(kancolle),kantai_collection,HOME_CONFIRMED,kantai_collection,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""kantai_collection"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-23e415ba3dae5668aa47e96f""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yamashiro_(kancolle)"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-23e415ba3dae5668aa47e96f""}]},{""home"":""kantai_collection"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-ff8893b9b33acd5054952e39"",""ev3-1ad16c438c136c48d6cf9f43""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yamashiro_(kancolle)"",""object_key"":""kancolle"",""evidence_id"":""ev3-ff8893b9b33acd5054952e39""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""kancolle"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-1ad16c438c136c48d6cf9f43""}]}]"
yamashiro_kai_ni_(kancolle),kantai_collection,HOME_CONFIRMED,kantai_collection,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""kantai_collection"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-6262b966e3576ec4644d6fae""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yamashiro_kai_ni_(kancolle)"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-6262b966e3576ec4644d6fae""}]},{""home"":""kantai_collection"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-a38f078b92dfa84daf3d7d60"",""ev3-1ad16c438c136c48d6cf9f43""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""yamashiro_kai_ni_(kancolle)"",""object_key"":""kancolle"",""evidence_id"":""ev3-a38f078b92dfa84daf3d7d60""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""kancolle"",""object_key"":""kantai_collection"",""evidence_id"":""ev3-1ad16c438c136c48d6cf9f43""}]}]"
yamask,pokemon,HOME_CONFIRMED,pokemon,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""pokemon"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-d5d96c2074e37dcb4d3c10d1""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yamask"",""object_key"":""pokemon"",""evidence_id"":""ev3-d5d96c2074e37dcb4d3c10d1""}]}]"
yamata_no_orochi_(kemono_friends),kemono_friends,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=ROOT_REVIEW_BATCH_A_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
yamato-no-kami_yasusada,touken_ranbu,HOME_CONFIRMED,touken_ranbu,SAME_HOME,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""touken_ranbu"",""kind"":""DIRECT_HOME"",""evidence_ids"":[""ev3-35f5b45cdf373f3c5663f0be""],""path_edges"":[{""relation_type"":""DIRECT_HOME"",""subject_key"":""yamato-no-kami_yasusada"",""object_key"":""touken_ranbu"",""evidence_id"":""ev3-35f5b45cdf373f3c5663f0be""}]}]"
