identity_key,candidate_state,risk_flags
adjusting_shorts,BOUNDARY_REVIEW,intimate_clothing_manipulation
adjusting_skirt,BOUNDARY_REVIEW,intimate_clothing_manipulation
blowing_in_ear,BOUNDARY_REVIEW,ear_intimate_contact
chained,BOUNDARY_REVIEW,restraint_context
cover_them_up_slut_(meme),BOUNDARY_REVIEW,sexualized_language
fingers_between_toes,BOUNDARY_REVIEW,foot_toe_fetish_contact
hand_chains,BOUNDARY_REVIEW,restraint_context
hand_on_another's_neck,BOUNDARY_REVIEW,hands_on_neck
hands_on_another's_neck,BOUNDARY_REVIEW,hands_on_neck
tied_to_chair,BOUNDARY_REVIEW,restraint_context
tied_to_stake,BOUNDARY_REVIEW,restraint_context
tied_up_(nonsexual),BOUNDARY_REVIEW,restraint_context
whispering_in_ear,BOUNDARY_REVIEW,ear_intimate_contact
