identity_key,membership,general_root,generation_family,generation_role,lex_flags,cluster_key,cluster_size,phase
chocolate_on_pussy,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,DISCOVERY
penis_on_head,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,spatial_relation,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,DISCOVERY
penis_on_face,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,spatial_relation,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,DISCOVERY
hand_on_own_penis,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,DISCOVERY
penis_on_shoulder,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,DISCOVERY
penis_under_breasts,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,DISCOVERY
penis_to_navel,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,HOLDOUT
penis_in_unworn_legwear,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,HOLDOUT
penis_in_swimsuit,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,HOLDOUT
chocolate_on_penis,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,HOLDOUT
pussy_on_glass,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,HOLDOUT
chocolate_on_nipples,OVERLAP,ACTION_CONTACT,DIRECT_COMPOSITE,compound_visual,ANATOMY,OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY,28,HOLDOUT
cumdrip,OVERLAP,ACTION_CONTACT,FLUID_STATE_ACTION,effect_or_action,NONE,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,28,DISCOVERY
felching,OVERLAP,ACTION_CONTACT,FLUID_STATE_ACTION,effect_or_action,NONE,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|NONE,28,DISCOVERY
