identity_key,candidate_state,risk_flags
bubble_tea_challenge,LOW_RISK_CANDIDATE,
bucket_spill,LOW_RISK_CANDIDATE,
bug_hunting,LOW_RISK_CANDIDATE,
building_sand_sculpture,LOW_RISK_CANDIDATE,
building_snowman,LOW_RISK_CANDIDATE,
bumping,LOW_RISK_CANDIDATE,
bunny_ears_prank,LOW_RISK_CANDIDATE,
buried,LOW_RISK_CANDIDATE,
buried_in_sculpted_sand,LOW_RISK_CANDIDATE,
burning_at_the_stake,LOW_RISK_CANDIDATE,
burp,LOW_RISK_CANDIDATE,
bursting,LOW_RISK_CANDIDATE,
burying,LOW_RISK_CANDIDATE,
butterfly_in_eye,LOW_RISK_CANDIDATE,
butterfly_on_nose,LOW_RISK_CANDIDATE,
butterfly_over_eye,LOW_RISK_CANDIDATE,
buttoning,LOW_RISK_CANDIDATE,
calling,LOW_RISK_CANDIDATE,
candle_on_headwear,LOW_RISK_CANDIDATE,
cannibalism,LOW_RISK_CANDIDATE,
captured,LOW_RISK_CANDIDATE,
car_crash,LOW_RISK_CANDIDATE,
card_in_hat,LOW_RISK_CANDIDATE,
carrot_in_pocket,LOW_RISK_CANDIDATE,
carrot_on_stick,LOW_RISK_CANDIDATE,
carry_me,LOW_RISK_CANDIDATE,
carrying,LOW_RISK_CANDIDATE,
carrying_baby,LOW_RISK_CANDIDATE,
carrying_multiple_people,LOW_RISK_CANDIDATE,
carrying_overhead,LOW_RISK_CANDIDATE,
casing_ejection,LOW_RISK_CANDIDATE,
casting_spell,LOW_RISK_CANDIDATE,
cat_on_keyboard,LOW_RISK_CANDIDATE,
cat_on_lap,LOW_RISK_CANDIDATE,
catching,LOW_RISK_CANDIDATE,
catfight,LOW_RISK_CANDIDATE,
celebration,LOW_RISK_CANDIDATE,
character_transformation,LOW_RISK_CANDIDATE,
chasing,LOW_RISK_CANDIDATE,
cheating_(competitive),LOW_RISK_CANDIDATE,
checking_pulse,LOW_RISK_CANDIDATE,
checkout_(shopping),LOW_RISK_CANDIDATE,
cheering,LOW_RISK_CANDIDATE,
cherry_stem_knot,LOW_RISK_CANDIDATE,
chewing,LOW_RISK_CANDIDATE,
