identity_key,candidate_state,risk_flags
butterfly_on_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
butterfly_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
butterfly_on_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
butterfly_on_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cake_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
can_to_cheek,RESIDUAL_UNCLASSIFIED,relation_or_body_token
candle_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
card_between_fingers,RESIDUAL_UNCLASSIFIED,relation_or_body_token
card_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
caress,RESIDUAL_UNCLASSIFIED,intimate_or_boundary_token
caressing_cheek,RESIDUAL_UNCLASSIFIED,relation_or_body_token|intimate_or_boundary_token
carrying_over_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
carrying_person,RESIDUAL_UNCLASSIFIED,relation_or_body_token
carrying_under_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cat_on_chest,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cat_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cat_on_person,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cat_on_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cheek-to-cheek,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cheek_on_glass,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cheek_pinching,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cheek_poking,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cheek_press,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cheek_pull,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cheek_squash,RESIDUAL_UNCLASSIFIED,relation_or_body_token
chibi_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
chibi_on_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
chin_rub,RESIDUAL_UNCLASSIFIED,relation_or_body_token
chocolate_on_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
chocolate_on_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
chopsticks_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
clipping_another's_nails,RESIDUAL_UNCLASSIFIED,relation_or_body_token
clothes_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
clutching_chest,RESIDUAL_UNCLASSIFIED,relation_or_body_token
clutching_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
crab_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
crab_on_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cradling_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cream_on_body,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cream_on_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cream_on_hands,RESIDUAL_UNCLASSIFIED,relation_or_body_token
creature_on_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
creature_on_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
creature_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
creature_on_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cupping_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
cupping_hands,RESIDUAL_UNCLASSIFIED,relation_or_body_token
