identity_key,state
clit_torture,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
clit_tweak,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
clitslip,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
clothes_aside,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
clothes_removed,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
clothing_down,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
clothing_removed,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cmnf,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cmnm,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
coaching_(sexual),SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
coat_open,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cock-tail,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
coming,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cooperative_grinding,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cooperative_grinding_(sexual),SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
coprophagia,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
coprophilia,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
covered_erection,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cowgirl,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cream_pie,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cross_section,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cross_section_view,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
crossdress,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
crotchrope,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cumflation,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cumming,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cumpool,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cumstring,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cumswap,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cunilingus,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cunillingus,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cunnillingus,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cuntboy_with_cuntboy,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cuntboy_with_female,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cutaway,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
cutaway_view,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
daisy_chain,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
deep_insertion,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
deep_throat,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
defecation,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
descensored,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
dickgirl,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
dickhead,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
dismembered,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
dissection,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
doggy,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
doggy_style,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
double_fisting,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
double_grinding,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
doublepenetration,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
down_blouse,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
dp,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
dubcon,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
dubious_consent,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ecchi,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
egg_vibrators,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
erect_clit,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ero,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
eroguro,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
explicit,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
exposed_genitals,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
exposed_guts,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
exposed_organs,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
extreme_insertion,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
extreme_stretching,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
eye_gouging,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
face-down_ass-up,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
face_down_ass_up,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
face_sitting,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
facefuck,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
fecal,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
feces,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
feces_play,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
felatio,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
female_on_top,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
fire_play,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
fondle,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
fondling,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
foot_lick,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
foot_licking,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
forced_feminization,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
foreskin_biting,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
foreskin_retraction,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
fourway,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
from_behind_position,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
frotting,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
fuckmachine,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
full_nudity,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
futa,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
futa_with_cuntboy,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
gangrape,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
gangsex,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
gape,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
garterbelt,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
genitalia,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
genitals,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
gloryhole,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
golden_shower_play,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
gory,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
grinding,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
grinding_(sexual),SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
grope,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
groupsex,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
guts,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
guy_on_top,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
hadaka_apron,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
hand_job,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
handbra,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
handgag,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
