identity_key,state,evidence_flags
sperm,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
stealth_exhibitionism,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
sucking_cock,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
sucking_dick,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
tits,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
tribadism_through_clothing,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
under_boob,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
urethral,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
urethral_dilation,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
urethral_object_push,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
urethral_play,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
urethral_rod,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
urethral_sounding,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
urethral_strap-on,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
vaginal_insertion,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
vaginal_intercourse,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state+explicit_act_variant
vaginal_jewelry,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
vaginal_juices,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
vaginal_nakadashi,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
vaginal_object_push,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
