cluster_key,rows,general_path,lex_flags,examples
BODY_PART|ANATOMY,16,BODY_PART,ANATOMY,purple_pubic_hair;aqua_pubic_hair;pubic_hair;pubic_feathers;brown_pubic_hair;pink_pubic_hair;black_pubic_hair;blue_pubic_hair;non-pubic_inmon;multicolored_pubic_hair
OBJECT_PROP/DAILY|RESTRAINT,12,OBJECT_PROP/DAILY,RESTRAINT,rope;jump_rope;pink_rope;orange_rope;rope_ladder;blue_rope;black_rope;purple_rope;white_rope;green_rope
ACTION_CONTACT/INTERACTION|EXPOSURE,8,ACTION_CONTACT/INTERACTION,EXPOSURE,bra_on_head;hand_in_underwear;adjusting_bra;hand_in_own_bra;panties_cat's_cradle;hand_in_own_panties;adjusting_panties;hand_in_bra
ACTION_CONTACT/INTERACTION|INJURY,6,ACTION_CONTACT/INTERACTION,INJURY,bath_of_blood;wiping_blood;spitting_blood;drinking_blood;blood_sucking;licking_blood
CLOTHING_STATE_EXPOSURE|ANATOMY,6,CLOTHING_STATE_EXPOSURE,ANATOMY,hair_over_breasts;hair_over_one_breast;long_breast_curtain;see-through_breast_curtains;necktie_between_breasts;convenient_breasts
(none)|INJURY,3,(none),INJURY,tears_of_the_tarnished_blood_(e.g.o);nightmare_blood_(idolmaster);iron_blood_(emblem)
ACTION_CONTACT/INTIMATE|EXPOSURE,3,ACTION_CONTACT/INTIMATE,EXPOSURE,presenting_removed_panties;licking_panties;cumdrip_onto_panties
ACTION_CONTACT/OBJECT_USE|EXPOSURE,3,ACTION_CONTACT/OBJECT_USE,EXPOSURE,holding_bra;holding_panties;holding_underwear
ACTION_CONTACT/OBJECT_USE|RESTRAINT,3,ACTION_CONTACT/OBJECT_USE,RESTRAINT,swinging_on_rope;holding_rope;holding_jump_rope
CLOTHING/ACCESSORY|EXPOSURE,3,CLOTHING/ACCESSORY,EXPOSURE,contrast_trim_panties;o-ring_panties;o-ring_bra
(none)|EXPOSURE,2,(none),EXPOSURE,panties_day;your_bra_strap_is_showing_(meme)
(none)|RESTRAINT,2,(none),RESTRAINT,rope_train;sazae-san_food_gag_(meme)
ACTION_CONTACT/INTERACTION|EXPLICIT_SEX,2,ACTION_CONTACT/INTERACTION,EXPLICIT_SEX,implied_prostitution;mixed-sex_bathing
ACTION_CONTACT/INTIMATE|EXPLICIT_SEX,2,ACTION_CONTACT/INTIMATE,EXPLICIT_SEX,male_prostitution;same-sex_bathing
CLOTHING/ACCESSORY|RESTRAINT,2,CLOTHING/ACCESSORY,RESTRAINT,rope_belt;rope_necklace
CLOTHING/COSTUME|EXPOSURE,2,CLOTHING/COSTUME,EXPOSURE,claw_bra;sailor_moon_narikiri_bra_set
OBJECT_PROP/WEAPON|INJURY,2,OBJECT_PROP/WEAPON,INJURY,blood_sword;blood_edge_(stellar_blade)
PERSON_COUNT|INJURY,2,PERSON_COUNT,INJURY,blood_elf_(warcraft);blood_angels
STYLE_QUALITY_META|INJURY,2,STYLE_QUALITY_META,INJURY,stylized_blood;blood_censor
(none)|ANATOMY,1,(none),ANATOMY,iced_latte_with_breast_milk_(meme)
(none)|EXPLICIT_SEX,1,(none),EXPLICIT_SEX,sex_ed
ACTION_CONTACT/INTERACTION|RESTRAINT,1,ACTION_CONTACT/INTERACTION,RESTRAINT,clothes_gag
ACTION_CONTACT/OBJECT_USE|INJURY,1,ACTION_CONTACT/OBJECT_USE,INJURY,holding_blood_bag
BODY_PART|EXPOSURE,1,BODY_PART,EXPOSURE,pectoral_cleavage
CLOTHING/COSTUME|INJURY,1,CLOTHING/COSTUME,INJURY,blood_moon_(league)
CLOTHING/EVERYDAY|ANATOMY,1,CLOTHING/EVERYDAY,ANATOMY,strap_between_breasts
CLOTHING/UNIFORM|INJURY,1,CLOTHING/UNIFORM,INJURY,knights_of_blood_uniform_(sao)
CLOTHING|EXPOSURE,1,CLOTHING,EXPOSURE,vertical-striped_panties
COLOR_APPEARANCE|ANATOMY,1,COLOR_APPEARANCE,ANATOMY,shaped_pubic_hair
COLOR_APPEARANCE|RESTRAINT,1,COLOR_APPEARANCE,RESTRAINT,rope_around_waist
EXPRESSION_EMOTION|INJURY,1,EXPRESSION_EMOTION,INJURY,major_injury_underreaction
OBJECT_PROP/DAILY|EXPOSURE,1,OBJECT_PROP/DAILY,EXPOSURE,shelf_bra
OBJECT_PROP/DAILY|INJURY,1,OBJECT_PROP/DAILY,INJURY,blood_bag
OBJECT_PROP/DAILY|REPRO,1,OBJECT_PROP/DAILY,REPRO,pregnancy_test
POSE_MOVEMENT|EXPOSURE,1,POSE_MOVEMENT,EXPOSURE,presenting_bra
STYLE_QUALITY_META|RESTRAINT,1,STYLE_QUALITY_META,RESTRAINT,clamp_(circle)_(style)
