identity_key,priority_band,is_general,is_special,general_primary_path,special_id,generation_family,issue104_risk
mutual_rape,P1_SPECIAL_OR_OVERLAP,NO,YES,,1505,,NO
penetrated,P1_SPECIAL_OR_OVERLAP,NO,YES,,1799,,NO
clit,P1_SPECIAL_OR_OVERLAP,NO,YES,,2538,,NO
forniphilia,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,499,CONTEXT_MODIFIER,NO
minor,P1_SPECIAL_OR_OVERLAP,NO,YES,,2353,,NO
footjob_from_behind,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,25,ACTION_INTERACTION,NO
race_fetishism,P1_SPECIAL_OR_OVERLAP,YES,YES,,1243,RELATION_ROLE_CONTEXT,NO
pussy_(symbol),P1_SPECIAL_OR_OVERLAP,NO,YES,,1551,,NO
ball_busting,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,616,RESTRAINT_ACTION,NO
xray,P1_SPECIAL_OR_OVERLAP,NO,YES,,2014,,NO
midriff_peek,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2808,CLOTHING_EXPOSURE,NO
smelly_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1121,,NO
naked_lab_coat,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2418,CLOTHING_EXPOSURE,NO
colored_blindfold,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,2405,RESTRAINT_IMPLEMENT,NO
pantyhosepull,P1_SPECIAL_OR_OVERLAP,NO,YES,,2678,,NO
triple_vaginal,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,549,INSERTION_STRUCTURED,NO
dress_tug,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2307,CLOTHING_EXPOSURE,NO
removing_pasties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2433,,NO
non-consensual,P1_SPECIAL_OR_OVERLAP,NO,YES,,441,,NO
penis_touching,P1_SPECIAL_OR_OVERLAP,NO,YES,,1414,,NO
pantyhose_around_legs,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2980,CLOTHING_EXPOSURE,NO
urethral_strap-on,P1_SPECIAL_OR_OVERLAP,NO,YES,,215,,NO
naked_tape,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2486,,NO
crotch_rope,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,1821,RESTRAINT_IMPLEMENT,NO
soiled_diaper,P1_SPECIAL_OR_OVERLAP,NO,YES,,464,,NO
penis_kiss,P1_SPECIAL_OR_OVERLAP,NO,YES,,1412,,NO
dark_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,766,,NO
tongue_clamp,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1842,RESTRAINT_IMPLEMENT,NO
snake_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1200,,NO
clothes_between_exposed_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2890,CLOTHING_EXPOSURE,NO
nipples,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,665,BODY_ATTRIBUTE,NO
colored_nipples,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,761,BODY_ATTRIBUTE,NO
vaginal_nakadashi,P1_SPECIAL_OR_OVERLAP,NO,YES,,1263,,NO
breast_sucking_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2938,CLOTHING_EXPOSURE,NO
orchiectomy,P1_SPECIAL_OR_OVERLAP,NO,YES,,1790,,NO
imminent_vaginal,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,540,CONTEXT_MODIFIER,NO
dick_in_a_box,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP/DAILY,1116,DIRECT_COMPOSITE,NO
colored_pubic_hair,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2740,BODY_ATTRIBUTE,NO
thick_penis,P1_SPECIAL_OR_OVERLAP,NO,YES,,1382,,NO
leg_cutout,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2223,CLOTHING_EXPOSURE,NO
caressing_testicles,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,685,ACTION_INTERACTION,NO
nipple_sleeve,P1_SPECIAL_OR_OVERLAP,NO,YES,,1522,,NO
nude_overalls,P1_SPECIAL_OR_OVERLAP,NO,YES,,2586,,NO
grabbing_tentacle,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1867,NONHUMAN_INTERACTION,NO
ropebondage,P1_SPECIAL_OR_OVERLAP,NO,YES,,2669,,NO
nipple_tweak,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,47,ACTION_INTERACTION,NO
shotadom,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,1239,RELATION_ROLE_CONTEXT,NO
semen_on_breasts,P1_SPECIAL_OR_OVERLAP,NO,YES,,1292,,NO
penis_over_eyes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,772,DIRECT_COMPOSITE,NO
necktie_grab,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2309,CLOTHING_EXPOSURE,NO
vagina_dentata,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1210,,NO
genital_stretching,P1_SPECIAL_OR_OVERLAP,NO,YES,,205,,NO
walk-in,P1_SPECIAL_OR_OVERLAP,YES,YES,PLACE_BACKGROUND,2154,SCENE_CONTEXT,NO
bootjob,P1_SPECIAL_OR_OVERLAP,NO,YES,,1679,,NO
naked_towel,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2108,CLOTHING_EXPOSURE,NO
alcohol_between_breasts,P1_SPECIAL_OR_OVERLAP,NO,YES,,2710,,NO
futasub,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,2368,RELATION_ROLE_CONTEXT,NO
presenting_own_ass,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2847,POSE_COMPOSITION,NO
princess_plug,P1_SPECIAL_OR_OVERLAP,NO,YES,,1671,,NO
looking_at_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,GAZE_ORIENTATION,735,ACTION_INTERACTION,NO
penis_chart,P1_SPECIAL_OR_OVERLAP,YES,YES,TEXT_SYMBOL/SYMBOL,1021,BODY_ATTRIBUTE,NO
urethra,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,213,BODY_ATTRIBUTE,NO
fingering_through_panties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,176,INSERTION_STRUCTURED,NO
reverse_ryona,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,631,RESTRAINT_ACTION,NO
bukakke,P1_SPECIAL_OR_OVERLAP,NO,YES,,1620,,NO
butt_plug_tail,P1_SPECIAL_OR_OVERLAP,NO,YES,,1632,,NO
star_maebari,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,2478,,NO
three_way,P1_SPECIAL_OR_OVERLAP,NO,YES,,258,,NO
grabbing_own_ass,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2827,ACTION_INTERACTION,NO
nude_shirt,P1_SPECIAL_OR_OVERLAP,NO,YES,,2543,,NO
reverse_bunnysuit,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2118,CLOTHING_EXPOSURE,NO
have_to_pee,P1_SPECIAL_OR_OVERLAP,YES,YES,EXPRESSION_EMOTION,1979,FLUID_STATE_ACTION,NO
v_over_crotch,P1_SPECIAL_OR_OVERLAP,YES,YES,TEXT_SYMBOL/SYMBOL,2973,CLOTHING_EXPOSURE,NO
penis-shaped_jewelry,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,1207,,NO
dickgirl,P1_SPECIAL_OR_OVERLAP,NO,YES,,1601,,NO
nude_scarf,P1_SPECIAL_OR_OVERLAP,NO,YES,,2590,,NO
growing_breasts,P1_SPECIAL_OR_OVERLAP,NO,YES,,2700,,NO
clothed_male_naked_male,P1_SPECIAL_OR_OVERLAP,NO,YES,,2588,,NO
crotch_stomp,P1_SPECIAL_OR_OVERLAP,NO,YES,,2718,,NO
semen_on_pecs,P1_SPECIAL_OR_OVERLAP,NO,YES,,1424,,NO
zenra,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,664,SCENE_CONTEXT,NO
autofellatio,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,704,SELF_ACTION,NO
clitoris_ring,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,837,,NO
animal_insertion,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,492,NONHUMAN_INTERACTION,NO
naked_jacket,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2287,CLOTHING_EXPOSURE,NO
blue_pussy,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,896,,NO
blood_pool,P1_SPECIAL_OR_OVERLAP,NO,YES,,1780,,NO
shrimp_tie,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,1932,RESTRAINT_ACTION,NO
penis_to_breast,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,789,DIRECT_COMPOSITE,NO
clitoris,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2016,BODY_ATTRIBUTE,NO
18+,P1_SPECIAL_OR_OVERLAP,NO,YES,,1694,,NO
over_the_mouth_gagged,P1_SPECIAL_OR_OVERLAP,NO,YES,,2601,,NO
bruise_on_ass,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2957,BODY_STATE,NO
naked_vest,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2468,,NO
tentacle_fucking,P1_SPECIAL_OR_OVERLAP,NO,YES,,330,,NO
shimaidon_(sex),P1_SPECIAL_OR_OVERLAP,NO,YES,,244,,NO
