identity_key,priority_band,is_general,is_special,general_primary_path,special_id,generation_family,issue104_risk
amazon_position,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,118,POSE_COMPOSITION,NO
blood_on_face,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2799,DAMAGE_STATE_ACTION,NO
fuck_machine,P1_SPECIAL_OR_OVERLAP,NO,YES,,317,,NO
cleft_of_venus,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2015,BODY_ATTRIBUTE,NO
bikini_top_only,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2801,CLOTHING_EXPOSURE,NO
labia_piercing,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,865,IMPLEMENT_OBJECT,NO
urethral_rod,P1_SPECIAL_OR_OVERLAP,NO,YES,,223,,NO
excessive_lactation,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2962,FLUID_STATE_ACTION,NO
naked_ribbon,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2289,CLOTHING_EXPOSURE,NO
age_play,P1_SPECIAL_OR_OVERLAP,NO,YES,,1675,,NO
childlike,P1_SPECIAL_OR_OVERLAP,NO,YES,,2352,,NO
tentacle_fuck,P1_SPECIAL_OR_OVERLAP,NO,YES,,329,,NO
boob_slip,P1_SPECIAL_OR_OVERLAP,NO,YES,,2697,,NO
fingering_asshole,P1_SPECIAL_OR_OVERLAP,NO,YES,,1391,,NO
clitoral_piercing,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2020,BODY_ATTRIBUTE,NO
panties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2112,CLOTHING_EXPOSURE,NO
tentacle,P1_SPECIAL_OR_OVERLAP,NO,YES,,1891,,NO
male_on_top,P1_SPECIAL_OR_OVERLAP,NO,YES,,2757,,NO
bloomers_around_one_leg,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2935,CLOTHING_EXPOSURE,NO
questionable,P1_SPECIAL_OR_OVERLAP,NO,YES,,1738,,NO
horse_cock,P1_SPECIAL_OR_OVERLAP,NO,YES,,1388,,NO
shirt_slip,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2242,CLOTHING_EXPOSURE,NO
panties_around_one_leg,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2813,CLOTHING_EXPOSURE,NO
doggy_style,P1_SPECIAL_OR_OVERLAP,NO,YES,,138,,NO
micro_bra,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2869,CLOTHING_EXPOSURE,NO
futanari,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,712,BODY_ATTRIBUTE,NO
breasts_grab,P1_SPECIAL_OR_OVERLAP,NO,YES,,2648,,NO
tentacles_with_male,P1_SPECIAL_OR_OVERLAP,NO,YES,,2585,,NO
penis_on_face,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,691,DIRECT_COMPOSITE,NO
clitoris_bar,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1039,,NO
bra_no,P1_SPECIAL_OR_OVERLAP,NO,YES,,2178,,NO
dress_lift,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2215,CLOTHING_EXPOSURE,NO
snowballing,P1_SPECIAL_OR_OVERLAP,NO,YES,,1508,,NO
covering_pussy,P1_SPECIAL_OR_OVERLAP,NO,YES,,2551,,NO
creampie,P1_SPECIAL_OR_OVERLAP,NO,YES,,407,,NO
stomach_cutout,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2254,CLOTHING_EXPOSURE,NO
