identity_key,priority_band,is_general,is_special,general_primary_path,special_id,generation_family,issue104_risk
over_the_nose_gagged,P1_SPECIAL_OR_OVERLAP,NO,YES,,2603,,NO
small_testicles,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,870,,NO
belt_bondage,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2455,,NO
you_gonna_get_raped,P1_SPECIAL_OR_OVERLAP,YES,YES,,437,RELATION_ROLE_CONTEXT,NO
bondage_gear,P1_SPECIAL_OR_OVERLAP,NO,YES,,1946,,NO
g_string,P1_SPECIAL_OR_OVERLAP,NO,YES,,2696,,NO
downpants,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2138,POSE_COMPOSITION,NO
head_between_legs,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2970,CLOTHING_EXPOSURE,NO
cuntboy_with_cuntboy,P1_SPECIAL_OR_OVERLAP,NO,YES,,717,,NO
untied_bikini_top,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2061,CLOTHING_EXPOSURE,NO
skirt_up,P1_SPECIAL_OR_OVERLAP,NO,YES,,2774,,NO
rapeface,P1_SPECIAL_OR_OVERLAP,NO,YES,,1670,,NO
open_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2049,CLOTHING_EXPOSURE,NO
tits,P1_SPECIAL_OR_OVERLAP,NO,YES,,2784,,NO
top-down_bottom-up,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,134,POSE_COMPOSITION,NO
cooperative_testicle_sucking,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1233,MULTI_ACTOR_INTERACTION,NO
sexual_assault,P1_SPECIAL_OR_OVERLAP,NO,YES,,442,,NO
implied_fingering,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,180,CONTEXT_MODIFIER,NO
semen,P1_SPECIAL_OR_OVERLAP,NO,YES,,404,,NO
