identity_key,priority_band,is_general,is_special,general_primary_path,special_id,generation_family,issue104_risk
iced_latte_with_breast_milk_(meme),P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,,,,YES
japan-korea_yuri_(meme),P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,,,,YES
middle_w,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,,,,NO
long_breast_curtain,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,CLOTHING_STATE_EXPOSURE,,,YES
oppai_mochi,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,ACTION_CONTACT/INTIMATE,,,YES
cospussy,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,NO,YES,,3061,BODY_ATTRIBUTE,YES
uterus_pose,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,YES,POSE_MOVEMENT,3059,POSE_COMPOSITION,YES
breast_drop,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,YES,CLOTHING_STATE_EXPOSURE,3027,CLOTHING_EXPOSURE,YES
convenient_breasts,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,CLOTHING_STATE_EXPOSURE,,,YES
enpera,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,,,,NO
riding_machine,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,YES,ACTION_CONTACT/INTERACTION,311,MACHINE_STRUCTURED,NO
dshk,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,,,,NO
undone_duijin,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,CLOTHING_STATE_EXPOSURE,,,NO
penis_rest,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,YES,ACTION_CONTACT/INTIMATE,966,,NO
oppai_oppai,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,ACTION_CONTACT/INTIMATE,,,YES
knee_boobs,P0_PREVIOUSLY_REVIEWED_UNRESOLVED,YES,NO,BODY_PART,,,YES
r18,P1_SPECIAL_OR_OVERLAP,NO,YES,,1714,,NO
ecchi,P1_SPECIAL_OR_OVERLAP,NO,YES,,1697,,NO
pecfuck,P1_SPECIAL_OR_OVERLAP,NO,YES,,1680,,NO
footjob,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,24,ACTION_INTERACTION,NO
projectile_lactation,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2846,FLUID_STATE_ACTION,NO
onee-shota,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,733,RELATION_ROLE_CONTEXT,NO
ice_play,P1_SPECIAL_OR_OVERLAP,NO,YES,,1972,,NO
pubic_cutout,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2763,,NO
