identity_key,priority_band,is_general,is_special,general_primary_path,special_id,generation_family,issue104_risk
extreme_fetish,P1_SPECIAL_OR_OVERLAP,NO,YES,,505,,NO
grinding,P1_SPECIAL_OR_OVERLAP,NO,YES,,1643,,NO
male_pregnancy,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2928,BODY_STATE,NO
analbeads,P1_SPECIAL_OR_OVERLAP,NO,YES,,1629,,NO
skirt_peek,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2876,CLOTHING_EXPOSURE,NO
babydoll,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2073,CLOTHING_EXPOSURE,NO
penis_over_one_eye,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,823,DIRECT_COMPOSITE,NO
fisting,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,193,INSERTION_STRUCTURED,NO
jinki-style_restrained,P1_SPECIAL_OR_OVERLAP,YES,YES,,2753,,NO
cloth_gag,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2841,RESTRAINT_IMPLEMENT,NO
panties_no,P1_SPECIAL_OR_OVERLAP,NO,YES,,2128,,NO
scat_play,P1_SPECIAL_OR_OVERLAP,NO,YES,,468,,NO
tentacle_as_arm,P1_SPECIAL_OR_OVERLAP,NO,YES,,2620,,NO
sucking_cock,P1_SPECIAL_OR_OVERLAP,NO,YES,,1282,,NO
pussy_on_glass,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1095,DIRECT_COMPOSITE,NO
knotgag,P1_SPECIAL_OR_OVERLAP,NO,YES,,2733,,NO
handgag,P1_SPECIAL_OR_OVERLAP,NO,YES,,2723,,NO
autopaizuri,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2023,ACTION_INTERACTION,NO
red_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1086,,NO
cfnm,P1_SPECIAL_OR_OVERLAP,NO,YES,,2266,,NO
lift_shirt,P1_SPECIAL_OR_OVERLAP,NO,YES,,2755,,NO
watersports,P1_SPECIAL_OR_OVERLAP,NO,YES,,1995,,NO
preteen,P1_SPECIAL_OR_OVERLAP,NO,YES,,2354,,NO
defecation,P1_SPECIAL_OR_OVERLAP,NO,YES,,460,,NO
bound_leg,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2441,,NO
vulva,P1_SPECIAL_OR_OVERLAP,NO,YES,,1249,,NO
micro_pasties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2439,CLOTHING_EXPOSURE,NO
saliva_on_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,690,FLUID_STATE_ACTION,NO
unzipped,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2062,CLOTHING_EXPOSURE,NO
collar_tug,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2302,CLOTHING_EXPOSURE,NO
clothing_down,P1_SPECIAL_OR_OVERLAP,NO,YES,,2739,,NO
self_bondage,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1928,RESTRAINT_ACTION,NO
panties_visible_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2886,CLOTHING_EXPOSURE,NO
blue_nipples,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,802,,NO
beastiality,P1_SPECIAL_OR_OVERLAP,NO,YES,,1626,,NO
footjob_with_shoes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,31,ACTION_INTERACTION,NO
adult_content,P1_SPECIAL_OR_OVERLAP,NO,YES,,1695,,NO
nipples_pressed_together,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,899,DIRECT_COMPOSITE,NO
bondage,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1897,RESTRAINT_ACTION,NO
