identity_key,priority_band,is_general,is_special,general_primary_path,general_status,general_confidence,special_id,generation_family,generation_role,issue104_risk,prior_evidence,sample_rank,reviewed_class,review_status,review_reason
naked_suspenders,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2294,CLOTHING_EXPOSURE,visual_state,NO,,6af4bfca7f942e81d232a4b8bed77a7d95dd40678f168afcf1d944ea4e06d4fa,,,
womb_view,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2012,,semantic_support,NO,,6b3fc7b7d653fd09634a0d9ba589e042e0f80c87280894c54c88331fa267cccf,,,
beheading,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1735,,,NO,,6b9d6752f1269994c52b964b49ca06d0f243907f965504d52e683660a3f0704d,,,
uncensored_genitals,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1716,,semantic_support,NO,,6ba0aa2eab411cf12fb1583168d4c92ec5ca7927ad8ad99f35db4fc432ebf37e,,,
lace-trimmed_blindfold,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,,HIGH,2449,RESTRAINT_IMPLEMENT,restraint,NO,,6bbcadd758c0ae5d87e5aa5dfe0fada51aeec6958813c315846eca06906a9c6d,,,
torture,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,421,RESTRAINT_ACTION,restraint_action,NO,,6bdc19080aaba34dbcf25c935cb1953f93bbfc509c7499fc10228d8fa98387d9,,,
sleep_molestation,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,432,RELATION_ROLE_CONTEXT,context,NO,,6c025c900ed8f5be2935caa8634913f0a043dbb2827faa3ff966fca861daa701,,,
climaxing,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,651,,semantic_support,NO,,6c1fce9c5c68a00a95bdd87cd65d58962028d9ba85caf13b7a8e9907e9c0d949,,,
glansjob,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,33,ACTION_INTERACTION,action,NO,,6c44d1ed8901f63c73a2d34976bbb6aec339d4731adb83f3e25979cfc63f10e4,,,
standing_anilingus,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,894,,,NO,,6c4dbf12d0abeae2edc360a9218cfb736d2b372504d7fa688422314e86051abd,,,
lactation,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,2194,FLUID_STATE_ACTION,effect_or_action,NO,,6c52c3ffe27b6b290c3c6fd792409d5d1c7d249a97bae49814589f3ad164d421,,,
mating_(animal),P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,493,NONHUMAN_INTERACTION,compound_concept,NO,,6c800deeae415034ca4c2b84f90179d7f6de71e2a8af83dffbf2ff908ddb266c,,,
public_urination,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,2924,FLUID_STATE_ACTION,effect_or_action,NO,,6ceffde9bf7808fb45fe22b7f3466518810d745561168fbf99055439bca7b418,,,
straddle_penis,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1375,,,NO,,6d122ffef8208a16f7c5587cce52c97a05a93531fd552a7a549e7f9f8fec9e7e,,,
grabbing_breasts,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2649,,,NO,,6d19ca0b0c36427211ba499d5b658404d700932326fbd1cb965d2472f08aa1a1,,,
padlocked_chastity_cage,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,,HIGH,921,RESTRAINT_IMPLEMENT,restraint,NO,,6d3b2bb6d54073e800a601dda2dac51bd73b9203dd654bb97aa79225b15242ed,,,
crotchrope,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2691,,,NO,,6da21f4ae4f7a4847c6da0f0f470e6151f6890067f08a1fdeaa3403c19e3be2f,,,
tail_bondage,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,2479,,,NO,,6dd357a193ad3b10be5069d82cc979bac1e2252b45b6faaaeff1577eabeb9d00,,,
breasts_squeezed_together,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,HIGH,2803,BODY_STATE,body_state,NO,,6ded648a75b29ad04927d2bc1ad6f9dd18e31661438be536b816c7c10baa20bc,,,
ass_play,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,165,,semantic_support,NO,,6dfa0a4b0911d16f4e6819edded3355b7f5097e1cf4872c0eeb5e059095167a2,,,
pussy_focus,P1_SPECIAL_OR_OVERLAP,YES,YES,COMPOSITION_CAMERA,,HIGH,515,POSE_COMPOSITION,camera,NO,,6e26d59dda6a592a28601be9d917d5fa8c56c48b82c4a226a7f4c8d3e24a5435,,,
after_oral,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,112,,semantic_support,NO,,6e8de0bb396d27188c32859ee7b3564ee5ea34e81440fdc1723108fd08084f6b,,,
femdom,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,2182,RELATION_ROLE_CONTEXT,relation_context,NO,,6e9ac193f129f1f341a267d7a3094abc7d0b21b2d02036879e7ad81931e54c17,,,
scylla,P1_SPECIAL_OR_OVERLAP,YES,YES,LIVING_NATURE/CREATURE,,HIGH,1874,NONHUMAN_INTERACTION,compound_concept,NO,,6ea1439f6a94595b613eaa8ee997c2a72a568546290eccc193c8df0635d34264,,,
unworn_sock_on_penis,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1532,,,NO,,6ed0cfa148d5f2635fd18e1f27a434bf4841d36ca072834cba5ed3f811f54184,,,
cross_section,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2013,,,NO,,6efe2ad0b10448560a8a8ac19603b243e5e1977a538614bbf9a002216bb49312,,,
