identity_key,priority_band,is_general,is_special,general_primary_path,special_id,generation_family,issue104_risk
futa_with_futa,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2342,RELATION_ROLE_CONTEXT,NO
single_nipple_piercing,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,874,IMPLEMENT_OBJECT,NO
chastity_cage_strap,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,951,,NO
shell_pasties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2488,,NO
lolidom,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,1238,RELATION_ROLE_CONTEXT,NO
blood_on_neck,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2865,DAMAGE_STATE_ACTION,NO
strap_slip,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2257,CLOTHING_EXPOSURE,NO
impregnation_request,P1_SPECIAL_OR_OVERLAP,NO,YES,,2614,,NO
peeing_self,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1982,FLUID_STATE_ACTION,NO
unaligned_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2839,CLOTHING_EXPOSURE,NO
footjob_with_legwear,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,29,ACTION_INTERACTION,NO
cunt_busting,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,570,RESTRAINT_ACTION,NO
vaginal_juices,P1_SPECIAL_OR_OVERLAP,NO,YES,,1258,,NO
guro,P1_SPECIAL_OR_OVERLAP,YES,YES,STYLE_QUALITY_META,470,DAMAGE_STATE_ACTION,NO
self_fisting,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,197,INSERTION_STRUCTURED,NO
mummification_(bound),P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2427,,NO
insert,P1_SPECIAL_OR_OVERLAP,NO,YES,,1797,,NO
intravaginal_futanari,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,887,INSERTION_STRUCTURED,NO
arm_cutout,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2203,CLOTHING_EXPOSURE,NO
hentai_style,P1_SPECIAL_OR_OVERLAP,NO,YES,,1706,,NO
severed_limb,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1779,DAMAGE_STATE_ACTION,NO
gangsex,P1_SPECIAL_OR_OVERLAP,NO,YES,,1617,,NO
sexual_intercourse,P1_SPECIAL_OR_OVERLAP,NO,YES,,82,,NO
bikini_top_peek,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2965,CLOTHING_EXPOSURE,NO
anal_beads,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,266,IMPLEMENT_OBJECT,NO
coat_open,P1_SPECIAL_OR_OVERLAP,NO,YES,,2269,,NO
gagging,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1741,ACTION_INTERACTION,NO
after_urethral,P1_SPECIAL_OR_OVERLAP,NO,YES,,216,,NO
covering_crotch,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2305,CLOTHING_EXPOSURE,NO
poking_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1027,,NO
vore,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,504,ACTION_INTERACTION,NO
female_fingers_in_male_anus,P1_SPECIAL_OR_OVERLAP,NO,YES,,1461,,NO
fucking,P1_SPECIAL_OR_OVERLAP,NO,YES,,67,,NO
partially_nude,P1_SPECIAL_OR_OVERLAP,NO,YES,,2067,,NO
too_many_tentacles,P1_SPECIAL_OR_OVERLAP,NO,YES,,1860,,NO
shimaidon,P1_SPECIAL_OR_OVERLAP,YES,YES,,241,MULTI_ACTOR_INTERACTION,NO
fingering_ass,P1_SPECIAL_OR_OVERLAP,NO,YES,,1390,,NO
breast_pump,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,2191,FLUID_STATE_ACTION,NO
stealth_cunnilingus,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1136,,NO
grabbing_another's_testicles,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1191,ACTION_INTERACTION,NO
foreskin_retraction,P1_SPECIAL_OR_OVERLAP,NO,YES,,1468,,NO
trap_penetrating,P1_SPECIAL_OR_OVERLAP,NO,YES,,1728,,NO
garter_strap,P1_SPECIAL_OR_OVERLAP,NO,YES,,2645,,NO
orgy,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,239,MULTI_ACTOR_INTERACTION,NO
death,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2165,DAMAGE_STATE_ACTION,NO
skull_fucking,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,479,DAMAGE_STATE_ACTION,NO
penis_awe,P1_SPECIAL_OR_OVERLAP,YES,YES,EXPRESSION_EMOTION,594,BODY_ATTRIBUTE,NO
implied_yuri,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2370,RELATION_ROLE_CONTEXT,NO
blindfold,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,1816,RESTRAINT_IMPLEMENT,NO
torture_instruments,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,422,RESTRAINT_IMPLEMENT,NO
kimono_pull,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2222,CLOTHING_EXPOSURE,NO
imminent_facesitting,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2750,CONTEXT_MODIFIER,NO
self_facial,P1_SPECIAL_OR_OVERLAP,NO,YES,,1673,,NO
anal_play,P1_SPECIAL_OR_OVERLAP,NO,YES,,163,,NO
toddlersex,P1_SPECIAL_OR_OVERLAP,NO,YES,,1664,,NO
inseki,P1_SPECIAL_OR_OVERLAP,YES,YES,,2321,RELATION_ROLE_CONTEXT,NO
nude_model,P1_SPECIAL_OR_OVERLAP,NO,YES,,2617,,NO
spanking_machine,P1_SPECIAL_OR_OVERLAP,NO,YES,,316,,NO
ball_and_chain_restraint,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2401,RESTRAINT_IMPLEMENT,NO
breasts_out,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,669,BODY_ATTRIBUTE,NO
foot_on_pussy,P1_SPECIAL_OR_OVERLAP,NO,YES,,2618,,NO
