identity_key,priority_band,is_general,is_special,general_primary_path,special_id,generation_family,issue104_risk
covered_erection,P1_SPECIAL_OR_OVERLAP,NO,YES,,1736,,NO
reverse_cowgirl,P1_SPECIAL_OR_OVERLAP,NO,YES,,141,,NO
nipple_tassels,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,890,BODY_ATTRIBUTE,NO
genitalia,P1_SPECIAL_OR_OVERLAP,NO,YES,,1811,,NO
pregnancy_halo,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2930,BODY_STATE,NO
judas_cradle,P1_SPECIAL_OR_OVERLAP,NO,YES,,1719,,NO
molester,P1_SPECIAL_OR_OVERLAP,NO,YES,,1397,,NO
arms_bound_above_head,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2473,,NO
hard_fetish,P1_SPECIAL_OR_OVERLAP,NO,YES,,506,,NO
nipple_rub_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1212,,NO
panty_aside,P1_SPECIAL_OR_OVERLAP,NO,YES,,2662,,NO
tenga_suit,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/COSTUME,1138,,NO
nipple_chain,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,1722,RESTRAINT_IMPLEMENT,NO
pussy_peek,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,510,BODY_ATTRIBUTE,NO
cat_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1079,,NO
autoerotic_asphyxiation,P1_SPECIAL_OR_OVERLAP,NO,YES,,423,,NO
spider_gag,P1_SPECIAL_OR_OVERLAP,YES,YES,LIVING_NATURE/CREATURE,2510,RESTRAINT_IMPLEMENT,NO
bra_down,P1_SPECIAL_OR_OVERLAP,NO,YES,,2687,,NO
tail_between_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2977,CLOTHING_EXPOSURE,NO
upskirt,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2139,POSE_COMPOSITION,NO
testicle_weights,P1_SPECIAL_OR_OVERLAP,NO,YES,,629,,NO
purple_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1030,,NO
nude_sheet,P1_SPECIAL_OR_OVERLAP,NO,YES,,2576,,NO
descensored,P1_SPECIAL_OR_OVERLAP,NO,YES,,1578,,NO
dismembered,P1_SPECIAL_OR_OVERLAP,NO,YES,,1782,,NO
triangular_anus,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1035,,NO
bound_fingers,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1903,RESTRAINT_ACTION,NO
cunnillingus,P1_SPECIAL_OR_OVERLAP,NO,YES,,1623,,NO
butthole,P1_SPECIAL_OR_OVERLAP,NO,YES,,1583,,NO
testicle_piercing,P1_SPECIAL_OR_OVERLAP,NO,YES,,1548,,NO
naked_shirt,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2293,CLOTHING_EXPOSURE,NO
exhibitionism,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,657,SCENE_CONTEXT,NO
naughty_smile,P1_SPECIAL_OR_OVERLAP,NO,YES,,1608,,NO
lolicon,P1_SPECIAL_OR_OVERLAP,NO,YES,,1575,,NO
used_condom,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,2148,IMPLEMENT_OBJECT,NO
fart,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1762,FLUID_STATE_ACTION,NO
submission,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1967,RELATION_ROLE_CONTEXT,NO
frontless_outfit,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2217,CLOTHING_EXPOSURE,NO
errect_nipples,P1_SPECIAL_OR_OVERLAP,NO,YES,,1255,,NO
aqua_blindfold,P1_SPECIAL_OR_OVERLAP,NO,YES,,2592,,NO
excessive_pussy_juice,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,563,FLUID_STATE_ACTION,NO
pantygag,P1_SPECIAL_OR_OVERLAP,NO,YES,,2724,,NO
pussy_juice_in_mouth,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,566,FLUID_STATE_ACTION,NO
pussy_lick,P1_SPECIAL_OR_OVERLAP,NO,YES,,1339,,NO
strangling,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1961,RESTRAINT_ACTION,NO
backjob,P1_SPECIAL_OR_OVERLAP,NO,YES,,71,,NO
