identity_key,priority_band,is_general,is_special,general_primary_path,special_id,generation_family,issue104_risk
reverse_upright_straddle,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,127,POSE_COMPOSITION,NO
nipple_push,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1209,,NO
pony_play,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1922,RELATION_ROLE_CONTEXT,NO
leash_in_mouth,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/OBJECT_USE,2939,RESTRAINT_IMPLEMENT,NO
thighhigh,P1_SPECIAL_OR_OVERLAP,NO,YES,,2634,,NO
clothed_male_naked_female,P1_SPECIAL_OR_OVERLAP,NO,YES,,2556,,NO
naked_costume,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2434,,NO
footjob_with_boots,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,27,ACTION_INTERACTION,NO
finger_on_nipple,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1223,DIRECT_COMPOSITE,NO
asphyxiation,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1956,RESTRAINT_ACTION,NO
sparse_pubic_hair,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2777,BODY_ATTRIBUTE,NO
peeing_in_cup,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1988,FLUID_STATE_ACTION,NO
gigantic_testicles,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2042,BODY_ATTRIBUTE,NO
prostate_massager,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,603,IMPLEMENT_OBJECT,NO
tentacles_with_hands,P1_SPECIAL_OR_OVERLAP,NO,YES,,2630,,NO
breast_rest,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2821,ACTION_INTERACTION,NO
heart_maebari,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2390,CLOTHING_EXPOSURE,NO
heart_butt_plug,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP/DAILY,2960,IMPLEMENT_OBJECT,NO
cooperative_breast_smother,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2028,MULTI_ACTOR_INTERACTION,NO
naked_track_jacket,P1_SPECIAL_OR_OVERLAP,NO,YES,,2564,,NO
pantyhose_down,P1_SPECIAL_OR_OVERLAP,NO,YES,,2677,,NO
clitoris_leash,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1721,RESTRAINT_IMPLEMENT,NO
disembodied_penis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,586,BODY_ATTRIBUTE,NO
toe_cleavage,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2403,CLOTHING_EXPOSURE,NO
gape,P1_SPECIAL_OR_OVERLAP,NO,YES,,1791,,NO
double_anal,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,150,INSERTION_STRUCTURED,NO
gag,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,1825,RESTRAINT_IMPLEMENT,NO
bandaid_on_pussy,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,753,DIRECT_COMPOSITE,NO
chastity_cage,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,633,RESTRAINT_IMPLEMENT,NO
crotch_rub,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,85,SELF_ACTION,NO
clitslip,P1_SPECIAL_OR_OVERLAP,NO,YES,,1734,,NO
taking_off_clothes,P1_SPECIAL_OR_OVERLAP,NO,YES,,2782,,NO
cream_pie,P1_SPECIAL_OR_OVERLAP,NO,YES,,410,,NO
undress,P1_SPECIAL_OR_OVERLAP,NO,YES,,2785,,NO
loli,P1_SPECIAL_OR_OVERLAP,YES,YES,PERSON_COUNT,722,RELATION_ROLE_CONTEXT,NO
footjob_with_sandals,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,30,ACTION_INTERACTION,NO
nantaimori,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2330,SCENE_CONTEXT,NO
cumdrip,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,363,FLUID_STATE_ACTION,NO
phimosis,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,2037,BODY_ATTRIBUTE,NO
decapitation,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1766,DAMAGE_STATE_ACTION,NO
pee_puddle,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1985,FLUID_STATE_ACTION,NO
panty_on_penis,P1_SPECIAL_OR_OVERLAP,NO,YES,,1467,,NO
doggy,P1_SPECIAL_OR_OVERLAP,NO,YES,,1757,,NO
tube_chastity_cage,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP/DAILY,882,RESTRAINT_IMPLEMENT,NO
maebari_pull,P1_SPECIAL_OR_OVERLAP,NO,YES,,2629,,NO
beaded_panties,P1_SPECIAL_OR_OVERLAP,NO,YES,,2709,,NO
bra_lift,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2045,CLOTHING_EXPOSURE,NO
implied_virgin,P1_SPECIAL_OR_OVERLAP,NO,YES,,2715,,NO
sexualized_chibi,P1_SPECIAL_OR_OVERLAP,YES,YES,STYLE_QUALITY_META,1237,RELATION_ROLE_CONTEXT,NO
cleavage_window,P1_SPECIAL_OR_OVERLAP,NO,YES,,2532,,NO
clothes_lift,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2789,CLOTHING_EXPOSURE,NO
smelly_pussy,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1109,,NO
