identity_key,candidate_state,reason
\m/,ORDINARY_CLEAN,no_new_boundary_cue
\n/,ORDINARY_CLEAN,no_new_boundary_cue
abhaya_mudra,ORDINARY_CLEAN,no_new_boundary_cue
absorbing,ORDINARY_CLEAN,no_new_boundary_cue
accident,ORDINARY_CLEAN,no_new_boundary_cue
accidental_touch,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_another's_clothes,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_another's_eyewear,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_another's_hair,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_apron,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_belt,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_bow,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_bowtie,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_buruma,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_dress,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_earrings,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_eyewear,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_footwear,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_gloves,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_goggles,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_hair,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_hair_ornament,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_headphones,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_headset,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_headwear,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_hood,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_legwear,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_mask,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_neck_ribbon,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_necktie,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_scarf,ORDINARY_CLEAN,no_new_boundary_cue
adjusting_shirt,ORDINARY_CLEAN,no_new_boundary_cue
