identity_key,candidate_cluster,candidate_state,human_intent,review_note
heart_on_chest,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
heart_out_of_chest,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
hip_bones,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
hip_dips,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
hip_tattoo,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
hole_in_chest,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
hole_in_stomach,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
hollow_mouth,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
horizontal_navel,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
huge_pectorals,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
inconvenient_ass,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
knee_boobs,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
knee_to_chest,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
knees_apart_feet_together,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
knees_together_feet_apart,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
large_bulge,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
large_feet,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
large_pectorals,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
light-skinned_soles,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
lip_piercing,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
liquid_from_mouth,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
long_toes,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
long_tongue,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
mechanical_foot,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
mechanical_hips,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
mimic_chest,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
misplaced_mouth,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
mole_above_mouth,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
mole_beside_mouth,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
mole_on_armpit,GENERAL_ONLY|BODY_PART|NONE,FULL_REVIEW_GENERAL_BODY_PART_NONE_V67_BATCH2,,
