row_id,canonical_tag,category,post_count,review_band,primary_copyright,primary_copyright_coverage,current_reason
I70-038741,the_saga_of_darren_shan,Copyright,295,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038745,maerchen_(sound_horizon),Copyright,294,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038749,kobeya,Copyright,293,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038750,love_live!_days:_love_live!_general_magazine,Copyright,293,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038754,hermitcraft,Copyright,292,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038767,star_trek,Copyright,291,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038768,who_framed_roger_rabbit,Copyright,291,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038835,shiki_(novel),Copyright,281,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038924,pepoyo_(copyright),Copyright,269,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038938,krt_girls,Copyright,268,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038958,the_boys,Copyright,265,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038965,king_kong_(series),Copyright,264,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-038978,project-sp,Copyright,263,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039081,the_silmarillion,Copyright,251,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039137,casshern_(series),Copyright,244,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039196,ars_goetia,Copyright,238,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039198,bird/binary,Copyright,238,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039217,aerisdies,Copyright,236,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039239,ghostbusters,Copyright,233,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039271,spider-man:_brand_new_day,Copyright,231,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039321,gagraphic,Copyright,226,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039362,touran-sai,Copyright,223,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039373,the_magnus_archives,Copyright,222,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039396,horse_race_tests,Copyright,220,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039431,thunderbolt_fantasy,Copyright,217,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039440,the_weaker_sex_1_(gibson),Copyright,216,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039502,the_flash_(series),Copyright,210,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039558,lusterise,Copyright,205,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039594,vimalion_pro,Copyright,201,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039598,c2_kikan,Copyright,200,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039604,mad_max,Copyright,200,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039627,miracreation,Copyright,198,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039635,doctor_who,Copyright,197,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039782,project_i,Copyright,187,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039862,roman_(sound_horizon),Copyright,181,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039879,w_tails_cat,Copyright,180,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039907,kodoku_no_gourmet,Copyright,178,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039965,the_adventures_of_sherlock_holmes,Copyright,175,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039992,love_je_t'aime,Copyright,173,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
I70-039999,trojan_green_asteroid,Copyright,173,COPYRIGHT_SCOPE_FIRST,,,Copyright identity requires scope review
