identity_key,candidate_state,reason
atmospheric_reentry,ORDINARY_CLEAN,no_body_contact_risk
attempted_suicide,ORDINARY_CLEAN,no_body_contact_risk
auction,ORDINARY_CLEAN,no_body_contact_risk
aura_sphere_(pokemon),ORDINARY_CLEAN,no_body_contact_risk
autodefenestration,ORDINARY_CLEAN,no_body_contact_risk
awooo,ORDINARY_CLEAN,no_body_contact_risk
babydoll_hold,ORDINARY_CLEAN,no_body_contact_risk
babydoll_lift,ORDINARY_CLEAN,no_body_contact_risk
babydoll_pull,ORDINARY_CLEAN,no_body_contact_risk
babydoll_tug,ORDINARY_CLEAN,no_body_contact_risk
babywearing,ORDINARY_CLEAN,no_body_contact_risk
backbreaker,ORDINARY_CLEAN,no_body_contact_risk
backstab,ORDINARY_CLEAN,no_body_contact_risk
bad_singing,ORDINARY_CLEAN,no_body_contact_risk
badminton,ORDINARY_CLEAN,no_body_contact_risk
baking,ORDINARY_CLEAN,no_body_contact_risk
bakunetsu_god_finger,ORDINARY_CLEAN,no_body_contact_risk
balancing_on_finger,ORDINARY_CLEAN,no_body_contact_risk
balancing_on_head,ORDINARY_CLEAN,no_body_contact_risk
ballet,ORDINARY_CLEAN,no_body_contact_risk
ballroom_dancing,ORDINARY_CLEAN,no_body_contact_risk
banana_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
bandage_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
bang_(gesture),ORDINARY_CLEAN,no_body_contact_risk
banging,ORDINARY_CLEAN,no_body_contact_risk
banquet,ORDINARY_CLEAN,no_body_contact_risk
barking,ORDINARY_CLEAN,no_body_contact_risk
baseball_(sport),ORDINARY_CLEAN,no_body_contact_risk
basketball_(sport),ORDINARY_CLEAN,no_body_contact_risk
bathing,ORDINARY_CLEAN,no_body_contact_risk
battle,ORDINARY_CLEAN,no_body_contact_risk
beach_volleyball,ORDINARY_CLEAN,no_body_contact_risk
beak_hold,ORDINARY_CLEAN,no_body_contact_risk
bearhug,ORDINARY_CLEAN,no_body_contact_risk
beckoning,ORDINARY_CLEAN,no_body_contact_risk
bed_invitation,ORDINARY_CLEAN,no_body_contact_risk
bedtime_story,ORDINARY_CLEAN,no_body_contact_risk
begging,ORDINARY_CLEAN,no_body_contact_risk
being_late,ORDINARY_CLEAN,no_body_contact_risk
bell_ringing,ORDINARY_CLEAN,no_body_contact_risk
belly-to-belly,ORDINARY_CLEAN,no_body_contact_risk
belly_press,ORDINARY_CLEAN,no_body_contact_risk
belly_riding,ORDINARY_CLEAN,no_body_contact_risk
betrayal,ORDINARY_CLEAN,no_body_contact_risk
billiards,ORDINARY_CLEAN,no_body_contact_risk
bird_on_arm,ORDINARY_CLEAN,no_body_contact_risk
bird_on_hand,ORDINARY_CLEAN,no_body_contact_risk
bird_on_head,ORDINARY_CLEAN,no_body_contact_risk
bird_on_lap,ORDINARY_CLEAN,no_body_contact_risk
bird_on_leg,ORDINARY_CLEAN,no_body_contact_risk
bird_on_shoulder,ORDINARY_CLEAN,no_body_contact_risk
birthday_party,ORDINARY_CLEAN,no_body_contact_risk
biting,ORDINARY_CLEAN,no_body_contact_risk
biting_another's_arm,ORDINARY_CLEAN,no_body_contact_risk
biting_another's_clothes,ORDINARY_CLEAN,no_body_contact_risk
biting_another's_hand,ORDINARY_CLEAN,no_body_contact_risk
biting_another's_lip,ORDINARY_CLEAN,no_body_contact_risk
biting_cheek,ORDINARY_CLEAN,no_body_contact_risk
biting_clothes,ORDINARY_CLEAN,no_body_contact_risk
biting_hair,ORDINARY_CLEAN,no_body_contact_risk
biting_head,ORDINARY_CLEAN,no_body_contact_risk
biting_neck,ORDINARY_CLEAN,no_body_contact_risk
biting_own_hand,ORDINARY_CLEAN,no_body_contact_risk
biting_own_lip,ORDINARY_CLEAN,no_body_contact_risk
