identity_key,candidate_cluster,candidate_state,human_intent,review_note
cuntboy,OVERLAP|PERSON_COUNT|BODY_ATTRIBUTE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
fivesome,OVERLAP|PERSON_COUNT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
foursome,OVERLAP|PERSON_COUNT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
squid_girl,OVERLAP|PERSON_COUNT|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
tentacle_girl,OVERLAP|PERSON_COUNT|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
josou_seme,OVERLAP|PERSON_COUNT|RELATION_ROLE_CONTEXT|RELATIONSHIP_ROLE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
nude_beach,OVERLAP|PLACE_BACKGROUND|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
tentacle_pit,OVERLAP|PLACE_BACKGROUND|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
glory_wall,OVERLAP|PLACE_BACKGROUND|SCENE_CONTEXT|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
walk-in,OVERLAP|PLACE_BACKGROUND|SCENE_CONTEXT|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
spanking_self,OVERLAP|POSE_MOVEMENT|(none)|RESTRAINT_FETISH,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
bouncing_penis,OVERLAP|POSE_MOVEMENT|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
ass_lift,OVERLAP|POSE_MOVEMENT|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
bouncing_ass,OVERLAP|POSE_MOVEMENT|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
ofuda_on_nipples,OVERLAP|POSE_MOVEMENT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
ofuda_on_pussy,OVERLAP|POSE_MOVEMENT|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
presenting_own_breasts,OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
peeking,OVERLAP|POSE_MOVEMENT|SCENE_CONTEXT|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
fake_penis_shadow,OVERLAP|STYLE_QUALITY_META|(none)|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
framed_cleavage,OVERLAP|STYLE_QUALITY_META|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
clear_insertion,OVERLAP|STYLE_QUALITY_META|(none)|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
x-ray,OVERLAP|STYLE_QUALITY_META|CAMERA_INTERNAL_VIEW|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
framed_breasts,OVERLAP|STYLE_QUALITY_META|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
nude_cover,OVERLAP|STYLE_QUALITY_META|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
uncensored,OVERLAP|STYLE_QUALITY_META|META_CONTEXT|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V105_BATCH3,,
